id	mission_key	payload_key	status_key	value
#cdir_events_mission_payloads_tables;1;db/cdir_events_mission_payloads_tables/nagash_generated				
457716	nag_assassinate_character_agent_brt	TREASURY	SUCCESS	AMOUNT[750]
457717	nag_assassinate_character_agent_brt	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457718	nag_assassinate_character_agent_bst	TREASURY	SUCCESS	AMOUNT[750]
457719	nag_assassinate_character_agent_bst	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457720	nag_assassinate_character_agent_chs	TREASURY	SUCCESS	AMOUNT[750]
457721	nag_assassinate_character_agent_chs	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457722	nag_assassinate_character_agent_def	TREASURY	SUCCESS	AMOUNT[750]
457723	nag_assassinate_character_agent_def	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457724	nag_assassinate_character_agent_dwf	TREASURY	SUCCESS	AMOUNT[750]
457725	nag_assassinate_character_agent_dwf	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457726	nag_assassinate_character_agent_emp	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457727	nag_assassinate_character_agent_emp	TREASURY	SUCCESS	AMOUNT[750]
457728	nag_assassinate_character_agent_grn	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457729	nag_assassinate_character_agent_grn	TREASURY	SUCCESS	AMOUNT[750]
457730	nag_assassinate_character_agent_hef	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457731	nag_assassinate_character_agent_hef	TREASURY	SUCCESS	AMOUNT[750]
457732	nag_assassinate_character_agent_lzd	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457733	nag_assassinate_character_agent_lzd	TREASURY	SUCCESS	AMOUNT[750]
457734	nag_assassinate_character_agent_skv	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457735	nag_assassinate_character_agent_skv	TREASURY	SUCCESS	AMOUNT[750]
457736	nag_assassinate_character_agent_tmb	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457737	nag_assassinate_character_agent_tmb	TREASURY	SUCCESS	AMOUNT[750]
457738	nag_assassinate_character_agent_vmp	TREASURY	SUCCESS	AMOUNT[750]
457739	nag_assassinate_character_agent_vmp	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457740	nag_assassinate_character_agent_wef	TREASURY	SUCCESS	AMOUNT[750]
457741	nag_assassinate_character_agent_wef	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457742	nag_capture_regions_brt	TREASURY	SUCCESS	AMOUNT[500]
457743	nag_capture_regions_def	TREASURY	SUCCESS	AMOUNT[500]
457744	nag_capture_regions_dwf	TREASURY	SUCCESS	AMOUNT[500]
457745	nag_capture_regions_emp	TREASURY	SUCCESS	AMOUNT[500]
457746	nag_capture_regions_grn	TREASURY	SUCCESS	AMOUNT[500]
457747	nag_capture_regions_hef	TREASURY	SUCCESS	AMOUNT[500]
457748	nag_capture_regions_lzd	TREASURY	SUCCESS	AMOUNT[500]
457749	nag_capture_regions_skv	TREASURY	SUCCESS	AMOUNT[500]
457750	nag_capture_regions_tmb	TREASURY	SUCCESS	AMOUNT[500]
457751	nag_capture_regions_vmp	TREASURY	SUCCESS	AMOUNT[500]
457752	nag_capture_regions_wef	TREASURY	SUCCESS	AMOUNT[500]
457753	nag_declare_war_brt	TREASURY	SUCCESS	AMOUNT[500]
457754	nag_declare_war_brt	nag_payload_attack_versus_bretonnia	SUCCESS	DURATION[8];GLOBAL
457755	nag_declare_war_bst	TREASURY	SUCCESS	AMOUNT[500]
457756	nag_declare_war_bst	nag_payload_attack_versus_beastmen	SUCCESS	DURATION[8];GLOBAL
457757	nag_declare_war_chs	TREASURY	SUCCESS	AMOUNT[500]
457758	nag_declare_war_chs	nag_payload_attack_versus_chaos	SUCCESS	DURATION[8];GLOBAL
457759	nag_declare_war_def	nag_payload_attack_versus_dark_elves	SUCCESS	DURATION[8];GLOBAL
457760	nag_declare_war_def	TREASURY	SUCCESS	AMOUNT[500]
457761	nag_declare_war_dwf	TREASURY	SUCCESS	AMOUNT[500]
457762	nag_declare_war_dwf	nag_payload_attack_versus_dwarfs	SUCCESS	DURATION[8];GLOBAL
457763	nag_declare_war_emp	nag_payload_attack_versus_empire	SUCCESS	DURATION[8];GLOBAL
457764	nag_declare_war_emp	TREASURY	SUCCESS	AMOUNT[500]
457765	nag_declare_war_grn	TREASURY	SUCCESS	AMOUNT[500]
457766	nag_declare_war_grn	nag_payload_attack_versus_greenskins	SUCCESS	DURATION[8];GLOBAL
457767	nag_declare_war_hef	TREASURY	SUCCESS	AMOUNT[500]
457768	nag_declare_war_hef	nag_payload_attack_versus_high_elves	SUCCESS	DURATION[8];GLOBAL
457769	nag_declare_war_lzd	TREASURY	SUCCESS	AMOUNT[500]
457770	nag_declare_war_lzd	nag_payload_attack_versus_lizardmen	SUCCESS	DURATION[8];GLOBAL
457771	nag_declare_war_skv	TREASURY	SUCCESS	AMOUNT[500]
457772	nag_declare_war_skv	nag_payload_attack_versus_skaven	SUCCESS	DURATION[8];GLOBAL
457773	nag_declare_war_tmb	TREASURY	SUCCESS	AMOUNT[500]
457774	nag_declare_war_tmb	nag_payload_attack_versus_tomb_kings	SUCCESS	DURATION[8];GLOBAL
457775	nag_declare_war_vmp	TREASURY	SUCCESS	AMOUNT[500]
457776	nag_declare_war_vmp	nag_payload_attack_versus_vampires	SUCCESS	DURATION[8];GLOBAL
457777	nag_declare_war_wef	nag_payload_attack_versus_wood_elves	SUCCESS	DURATION[8];GLOBAL
457778	nag_declare_war_wef	TREASURY	SUCCESS	AMOUNT[500]
457779	nag_diplomatic_assassinate_character	DIPLOMATIC_STANDING	SUCCESS	AMOUNT[1]
457780	nag_diplomatic_assassinate_character	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457781	nag_diplomatic_capture_region	TREASURY	SUCCESS	AMOUNT[500]
457782	nag_diplomatic_capture_region	DIPLOMATIC_STANDING	SUCCESS	AMOUNT[2]
457783	nag_diplomatic_eliminate_character_in_battle	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457784	nag_diplomatic_eliminate_character_in_battle	DIPLOMATIC_STANDING	SUCCESS	AMOUNT[1]
457785	nag_diplomatic_engage_force	DIPLOMATIC_STANDING	SUCCESS	AMOUNT[2]
457786	nag_diplomatic_raid_region	TREASURY	SUCCESS	AMOUNT[650]
457787	nag_diplomatic_raid_region	DIPLOMATIC_STANDING	SUCCESS	AMOUNT[1]
457788	nag_diplomatic_raze_sack_settlement	TREASURY	SUCCESS	AMOUNT[750]
457789	nag_diplomatic_raze_sack_settlement	DIPLOMATIC_STANDING	SUCCESS	AMOUNT[2]
457790	nag_eliminate_character_in_battle_high_rank_brt	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457791	nag_eliminate_character_in_battle_high_rank_bst	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457792	nag_eliminate_character_in_battle_high_rank_chs	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457793	nag_eliminate_character_in_battle_high_rank_def	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457794	nag_eliminate_character_in_battle_high_rank_dwf	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457795	nag_eliminate_character_in_battle_high_rank_emp	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457796	nag_eliminate_character_in_battle_high_rank_grn	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457797	nag_eliminate_character_in_battle_high_rank_hef	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457798	nag_eliminate_character_in_battle_high_rank_lzd	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457799	nag_eliminate_character_in_battle_high_rank_skv	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457800	nag_eliminate_character_in_battle_high_rank_tmb	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457801	nag_eliminate_character_in_battle_high_rank_vmp	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457802	nag_eliminate_character_in_battle_high_rank_wef	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
457803	nag_engage_force_army_brt	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457804	nag_engage_force_army_bst	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457805	nag_engage_force_army_chs	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457806	nag_engage_force_army_def	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457807	nag_engage_force_army_dwf	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457808	nag_engage_force_army_emp	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457809	nag_engage_force_army_grn	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457810	nag_engage_force_army_hef	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457811	nag_engage_force_army_invading_brt	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457812	nag_engage_force_army_invading_bst	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457813	nag_engage_force_army_invading_chs	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457814	nag_engage_force_army_invading_def	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457815	nag_engage_force_army_invading_dwf	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457816	nag_engage_force_army_invading_emp	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457817	nag_engage_force_army_invading_grn	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457818	nag_engage_force_army_invading_hef	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457819	nag_engage_force_army_invading_lzd	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457820	nag_engage_force_army_invading_skv	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457821	nag_engage_force_army_invading_tmb	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457822	nag_engage_force_army_invading_vmp	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457823	nag_engage_force_army_invading_wef	wh_main_payload_morale_army	SUCCESS	DURATION[4];GLOBAL
457824	nag_make_alliance_0	TREASURY	SUCCESS	AMOUNT[500]
457825	nag_raid_region_brt	TREASURY	SUCCESS	AMOUNT[800]
457826	nag_raid_region_def	TREASURY	SUCCESS	AMOUNT[800]
457827	nag_raid_region_dwf	TREASURY	SUCCESS	AMOUNT[800]
457828	nag_raid_region_emp	TREASURY	SUCCESS	AMOUNT[800]
457829	nag_raid_region_grn	TREASURY	SUCCESS	AMOUNT[800]
457830	nag_raid_region_hef	TREASURY	SUCCESS	AMOUNT[800]
457831	nag_raid_region_lzd	TREASURY	SUCCESS	AMOUNT[800]
457832	nag_raid_region_skv	TREASURY	SUCCESS	AMOUNT[800]
457833	nag_raid_region_tmb	TREASURY	SUCCESS	AMOUNT[800]
457834	nag_raid_region_vmp	TREASURY	SUCCESS	AMOUNT[800]
457835	nag_raid_region_wef	TREASURY	SUCCESS	AMOUNT[800]
457836	nag_raise_force_army	wh_main_payload_call_to_arms_army	SUCCESS	DURATION[4];GLOBAL
457837	nag_raze_sack_settlement_brt	TREASURY	SUCCESS	AMOUNT[1200]
457838	nag_raze_sack_settlement_def	TREASURY	SUCCESS	AMOUNT[1200]
457839	nag_raze_sack_settlement_dwf	TREASURY	SUCCESS	AMOUNT[1200]
457840	nag_raze_sack_settlement_emp	TREASURY	SUCCESS	AMOUNT[1200]
457841	nag_raze_sack_settlement_grn	TREASURY	SUCCESS	AMOUNT[1200]
457842	nag_raze_sack_settlement_hef	TREASURY	SUCCESS	AMOUNT[1200]
457843	nag_raze_sack_settlement_lzd	TREASURY	SUCCESS	AMOUNT[1200]
457844	nag_raze_sack_settlement_skv	TREASURY	SUCCESS	AMOUNT[1200]
457845	nag_raze_sack_settlement_tmb	TREASURY	SUCCESS	AMOUNT[1200]
457846	nag_raze_sack_settlement_vmp	TREASURY	SUCCESS	AMOUNT[1200]
457847	nag_raze_sack_settlement_wef	TREASURY	SUCCESS	AMOUNT[1200]
457848	nag_recruit_agent_champion	nag_payload_improved_agent_champion	SUCCESS	DURATION[8];GLOBAL
457849	nag_recruit_agent_engineer	nag_payload_improved_agent_engineer	SUCCESS	DURATION[8];GLOBAL
457850	nag_recruit_agent_wizard	nag_payload_improved_agent_wizard	SUCCESS	DURATION[8];GLOBAL
457851	nag_recruit_agent_spy	nag_payload_improved_agent_spy	SUCCESS	DURATION[8];GLOBAL
457852	nag_recruit_agent_dignitary	nag_payload_improved_agent_dignitary	SUCCESS	DURATION[8];GLOBAL
457853	nag_recruit_unit_land_artillery	nag_payload_training_artillery	SUCCESS	DURATION[8];GLOBAL
457854	nag_recruit_unit_land_cavalry	nag_payload_training_cavalry	SUCCESS	DURATION[8];GLOBAL
457855	nag_recruit_unit_land_infantry_melee	nag_payload_training_infantry_melee	SUCCESS	DURATION[8];GLOBAL
457856	nag_recruit_unit_land_infantry_ranged	nag_payload_training_infantry_ranged	SUCCESS	DURATION[8];GLOBAL
457857	nag_recruit_unit_land_war_beast	nag_payload_training_war_beasts	SUCCESS	DURATION[8];GLOBAL
457858	nag_recruit_unit_land_war_machine	nag_payload_training_war_machines	SUCCESS	DURATION[8];GLOBAL
