id	mission_key	payload_key	status_key	value	target_key
#cdir_events_mission_payloads_tables;2;db/cdir_events_mission_payloads_tables/rhox_nagash_partial					
7845140	nagash_intro_1	TREASURY	SUCCESS	AMOUNT[1000]	default
7845141	nagash_intro_2	TREASURY	SUCCESS	AMOUNT[1000]	default
7845142	nagash_intro_3	TREASURY	SUCCESS	AMOUNT[1000]	default
7845143	nagash_intro_4	TREASURY	SUCCESS	AMOUNT[1000]	default
7845144	nagash_intro_5	TREASURY	SUCCESS	AMOUNT[1000]	default
7845120	nag_nagash_capture_settlement_khemri	TREASURY	SUCCESS	AMOUNT[5000]	default
7845121	nag_nagash_capture_settlement_khemri	CHARACTER_EXPERIENCE	SUCCESS	AMOUNT[1500]	default
7845122	nag_nagash_capture_settlement_mourkain	TREASURY	SUCCESS	AMOUNT[5000]	default
7845123	nag_nagash_capture_settlement_mourkain	CHARACTER_EXPERIENCE	SUCCESS	AMOUNT[1500]	default
7845124	nag_nagash_capture_settlement_drakenhof	TREASURY	SUCCESS	AMOUNT[5000]	default
7845125	nag_nagash_capture_settlement_drakenhof	CHARACTER_EXPERIENCE	SUCCESS	AMOUNT[1500]	default
7845126	nag_nagash_capture_settlement_lahmia	TREASURY	SUCCESS	AMOUNT[5000]	default
7845127	nag_nagash_capture_settlement_lahmia	CHARACTER_EXPERIENCE	SUCCESS	AMOUNT[1500]	default
7845128	nag_nagash_capture_settlement_quintex	TREASURY	SUCCESS	AMOUNT[5000]	default
7845129	nag_nagash_capture_settlement_quintex	CHARACTER_EXPERIENCE	SUCCESS	AMOUNT[1500]	default
7845130	nag_mortarch_vlad_unlock	TREASURY	SUCCESS	AMOUNT[1000]	default
7845132	nag_mortarch_luthor_unlock	TREASURY	SUCCESS	AMOUNT[1000]	default
7845133	nag_mortarch_neferata_unlock	TREASURY	SUCCESS	AMOUNT[7500]	default
7845134	nag_mortarch_neferata_unlock	ADD_ANCILLARY	SUCCESS	ANCILLARY_KEY[nag_anc_enchanted_item_crown_of_nagash];SHOULD_REPLACE	default
