bonus_value_id	effect	unit_set_ability
#effect_bonus_value_unit_set_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_set_unit_ability_junctions_tables/rhox_nagash		
enable	nag_effect_landmark_neffy_buff_bats_refuse_to_die	nag_bats_refuse_to_die
enable	nag_effect_landmark_nagash_buff_morghasts_regen	nag_morghasts_regen
enable	nag_effect_enable_ability_blood_queen_dignitary_vmp	nag_blood_queen_vamps
enable	nag_effect_ability_carcinization	nag_carcinization
enable	nag_effect_enable_frenzy_grave_guard	nag_frenzy_grave_guard
enable	nag_effect_enable_ability_guardian_ghouls_blood_knights	nag_guardian_ghouls
enable	nag_effect_enable_ability_guardian_ghouls_blood_knights	nag_guardian_blood_knights
enable	nag_effect_enable_ability_zombie_battery	nag_zombie_battery
enable	nag_effect_ability_enable_warpfireball_liche_casket	nag_warpball_casket
enable	nag_effect_ability_enable_warpfireball_liche_casket	nag_warpball_liche_priests
enable	nag_effect_ability_enable_curse_quintex	nag_curse_quintex
enable	nag_effect_enable_ability_chilling_aura_zombies	nag_zombie
uses_mod	nag_vlad_unit_effect	nag_vlad_unit_set_raise_dead
uses_mod	nag_vlad_unit_effect	nag_vlad_unit_set_raise_dead_upgraded
recharge_mod	nag_mannfred_unit_effect	nag_mannfred_unit_set_curse
recharge_mod	nag_mannfred_unit_effect	nag_mannfred_unit_set_gaze
recharge_mod	nag_mannfred_unit_effect	nag_mannfred_unit_set_gaze_up
recharge_mod	nag_mannfred_unit_effect	nag_mannfred_unit_set_nehek
recharge_mod	nag_mannfred_unit_effect	nag_mannfred_unit_set_nehek_up
recharge_mod	nag_mannfred_unit_effect	nag_mannfred_unit_set_raise
recharge_mod	nag_mannfred_unit_effect	nag_mannfred_unit_set_raise_up
recharge_mod	nag_mannfred_unit_effect	nag_mannfred_unit_set_danse
recharge_mod	nag_mannfred_unit_effect	nag_mannfred_unit_set_danse_up
recharge_mod	nag_mannfred_unit_effect	nag_mannfred_unit_set_wind
recharge_mod	nag_mannfred_unit_effect	nag_mannfred_unit_set_wind_up
enable	nag_effect_unit_ability_magic_attacks_morghasts_hidden	nag_morghasts_magic_attacks
enable	nag_effect_ability_enable_the_hunger_fellbats_direwolves	nag_tech_hunger_dire_wolves_fell_bats
enable	nag_effect_landmark_dieter_enable_horrible_regeneration_ghouls_horrors	nag_ghouls_horrors_horrible_regen
enable	nag_effect_ability_enable_frenzy_ghouls	nag_ghouls_frenzy
enable	nag_effect_ability_enable_blood_frenzy_horrors	nag_horrors_blood_frenzy
enable	nag_effect_ability_enable_dread_prowess	nag_dread_inf_cav
enable	rhox_nagash_kalledria_effect_ability_enable_the_screaming_banner	rhox_nagash_kalledria_effect_ability_enable_the_screaming_banner
