effect_bundle	payload	duration
#ritual_payload_effect_bundles_tables;1;db/ritual_payload_effect_bundles_tables/rhox_nagash		
nag_man	nag_man	10
nag_divinity	nag_divinity	10
nag_death	nag_death	5
nag_winds	nag_winds	5
rhox_nagash_kalledria_ritual_hex_3	rhox_nagash_kalledria_ritual_hex_3	5
rhox_nagash_kalledria_ritual_hex_3_empowered	rhox_nagash_kalledria_ritual_hex_3_empowered	5
rhox_nagash_kalledria_ritual_hex_5	rhox_nagash_kalledria_ritual_hex_5	0
rhox_nagash_kalledria_ritual_hex_5_empowered	rhox_nagash_kalledria_ritual_hex_5_empowered	5
rhox_nagash_kalledria_ritual_hex_6	rhox_nagash_kalledria_ritual_hex_6	5
