base_unit	mounted_unit	icon_name
#units_custom_battle_mounts_tables;1;db/units_custom_battle_mounts_tables/rhox_nagash		
nag_nagash_husk	nag_nagash_boss	ui/campaign ui/mounts/nag_nagash_boss_hat.png
nag_mortarch_neferata	nag_mortarch_neferata_warhorse	ui/campaign ui/mounts/mount_barded_nightmare.png
nag_mortarch_neferata	nag_mortarch_neferata_abyssal	ui/campaign ui/mounts/mount_skullmuncha.png
nag_mortarch_mannfred	nag_mortarch_mannfred_warhorse	ui/campaign ui/mounts/mount_barded_nightmare.png
nag_mortarch_mannfred	nag_mortarch_mannfred_abyssal	ui/campaign ui/mounts/mount_skullmuncha.png
nag_mortarch_luthor	nag_mortarch_luthor_terrorgheist	ui/campaign ui/mounts/mount_terrorgheist.png
nag_mortarch_arkhan	nag_mortarch_arkhan_warhorse	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
nag_mortarch_arkhan	nag_mortarch_arkhan_chariot	ui/campaign ui/mounts/mount_skeleton_chariot.png
nag_mortarch_arkhan	nag_mortarch_arkhan_abyssal	ui/campaign ui/mounts/mount_skullmuncha.png
nag_mortarch_isabella	nag_mortarch_isabella_hellsteed	ui/campaign ui/mounts/mount_hellsteed.png
nag_mortarch_isabella	nag_mortarch_isabella_warhorse	ui/campaign ui/mounts/mount_barded_nightmare.png
nag_cha_tomb_king_0	nag_cha_tomb_king_1	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
nag_cha_tomb_king_0	nag_cha_tomb_king_2	ui/campaign ui/mounts/mount_skeleton_chariot.png
nag_cha_tomb_king_0	nag_cha_tomb_king_3	ui/campaign ui/mounts/mount_warsphinx.png
nag_cha_tomb_prince_0	nag_cha_tomb_prince_1	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
nag_cha_tomb_prince_0	nag_cha_tomb_prince_2	ui/campaign ui/mounts/mount_skeleton_chariot.png
nag_cha_liche_priest_death_0	nag_cha_liche_priest_death_1	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
nag_cha_liche_priest_light_0	nag_cha_liche_priest_light_1	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
nag_cha_liche_priest_nehekhara_0	nag_cha_liche_priest_nehekhara_1	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
nag_cha_liche_priest_shadow_0	nag_cha_liche_priest_shadow_1	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
nag_cha_liche_priest_undeath_0	nag_cha_liche_priest_undeath_1	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
nag_vampire_lord_0	nag_vampire_lord_2	ui/campaign ui/mounts/mount_hellsteed.png
nag_vampire_lord_0	nag_vampire_lord_3	ui/campaign ui/mounts/mount_zombie_dragon.png
nag_vampire_lord_0	nag_vampire_lord_5	ui/campaign ui/mounts/mount_barded_nightmare.png
nag_master_necromancer_0	nag_master_necromancer_1	ui/campaign ui/mounts/mount_corpse_cart.png
nag_master_necromancer_0	nag_master_necromancer_2	UI/Campaign UI/mounts/mount_corpse_cart_with_balefire.png
nag_master_necromancer_0	nag_master_necromancer_3	UI/Campaign UI/mounts/mount_corpse_cart_with_lodestone.png
nag_master_necromancer_0	nag_master_necromancer_4	ui/campaign ui/mounts/mount_hellsteed.png
nag_master_necromancer_0	nag_master_necromancer_5	ui/campaign ui/mounts/mount_nightmare.png
