base_unit	mounted_unit	icon_name
#units_custom_battle_mounts_tables;1;db/units_custom_battle_mounts_tables/nagash_units		
nag_nagash_husk	nag_nagash_boss	
nag_mortarch_neferata	nag_mortarch_neferata_warhorse	ui/campaign ui/mounts/mount_barded_nightmare.png
nag_mortarch_neferata	nag_mortarch_neferata_abyssal	ui/campaign ui/mounts/mount_skullmuncha.png
nag_mortarch_mannfred	nag_mortarch_mannfred_warhorse	ui/campaign ui/mounts/mount_barded_nightmare.png
nag_mortarch_mannfred	nag_mortarch_mannfred_abyssal	ui/campaign ui/mounts/mount_skullmuncha.png
nag_mortarch_luthor	nag_mortarch_luthor_terrorgheist	ui/campaign ui/mounts/mount_terrorgheist.png
nag_mortarch_arkhan	nag_mortarch_arkhan_warhorse	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
nag_mortarch_arkhan	nag_mortarch_arkhan_chariot	ui/campaign ui/mounts/mount_skeleton_chariot.png
nag_mortarch_arkhan	nag_mortarch_arkhan_abyssal	ui/campaign ui/mounts/mount_skullmuncha.png
nag_mortarch_isabella	nag_mortarch_isabella_hellsteed	ui/campaign ui/mounts/mount_hellsteed.png
nag_mortarch_isabella	nag_mortarch_isabella_warhorse	ui/campaign ui/mounts/mount_barded_nightmare.png
