campaign	source	target	attitude_base	negative_attitude_multiplier	positive_attitude_multiplier
#campaign_cultural_relations_tables;0;db/campaign_cultural_relations_tables/rhox_nagash					
	mixer_nag_nagash	wh2_dlc09_sc_tmb_tomb_kings	-80.0000	1.5000	0.7500
	mixer_nag_nagash	wh2_dlc11_sc_cst_vampire_coast	-20.0000	1.0000	1.0000
	mixer_nag_nagash	wh2_main_sc_def_dark_elves	-50.0000	1.0000	1.0000
	mixer_nag_nagash	wh2_main_sc_hef_high_elves	-50.0000	1.0000	1.0000
	mixer_nag_nagash	wh2_main_sc_lzd_lizardmen	-80.0000	1.5000	0.7500
	mixer_nag_nagash	wh2_main_sc_skv_skaven	-20.0000	1.0000	1.0000
	mixer_nag_nagash	wh3_main_sc_cth_cathay	-20.0000	1.0000	1.0000
	mixer_nag_nagash	wh3_main_sc_dae_daemons	-200.0000	2.0000	0.5000
	mixer_nag_nagash	wh3_main_sc_kho_khorne	-200.0000	2.0000	0.5000
	mixer_nag_nagash	wh3_main_sc_ksl_kislev	-20.0000	1.0000	1.0000
	mixer_nag_nagash	wh3_main_sc_nur_nurgle	-200.0000	2.0000	0.5000
	mixer_nag_nagash	wh3_main_sc_ogr_ogre_kingdoms	-20.0000	1.0000	1.0000
	mixer_nag_nagash	wh3_main_sc_sla_slaanesh	-200.0000	2.0000	0.5000
	mixer_nag_nagash	wh3_main_sc_tze_tzeentch	-200.0000	2.0000	0.5000
	mixer_nag_nagash	wh_dlc03_sc_bst_beastmen	-80.0000	1.5000	0.7500
	mixer_nag_nagash	wh_dlc05_sc_wef_wood_elves	-80.0000	1.5000	0.7500
	mixer_nag_nagash	wh_dlc08_sc_nor_norsca	-80.0000	1.5000	0.7500
	mixer_nag_nagash	wh_main_sc_brt_bretonnia	-20.0000	1.0000	1.0000
	mixer_nag_nagash	wh_main_sc_chs_chaos	-80.0000	1.5000	0.7500
	mixer_nag_nagash	wh_main_sc_dwf_dwarfs	-80.0000	1.5000	0.7500
	mixer_nag_nagash	wh_main_sc_emp_empire	-80.0000	1.5000	0.7500
	mixer_nag_nagash	wh_main_sc_grn_greenskins	-80.0000	1.5000	0.7500
	mixer_nag_nagash	wh_main_sc_grn_savage_orcs	-80.0000	1.5000	0.7500
	mixer_nag_nagash	wh_main_sc_teb_teb	-20.0000	1.0000	1.0000
	mixer_nag_nagash	wh_main_sc_vmp_vampire_counts	-20.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	mixer_nag_nagash	-80.0000	1.5000	0.7500
	wh2_dlc11_sc_cst_vampire_coast	mixer_nag_nagash	-20.0000	1.0000	1.0000
	wh2_main_sc_def_dark_elves	mixer_nag_nagash	-50.0000	1.0000	1.0000
	wh2_main_sc_hef_high_elves	mixer_nag_nagash	-50.0000	1.0000	1.0000
	wh2_main_sc_lzd_lizardmen	mixer_nag_nagash	-80.0000	1.5000	0.7500
	wh2_main_sc_skv_skaven	mixer_nag_nagash	-20.0000	1.0000	1.0000
	wh3_main_sc_cth_cathay	mixer_nag_nagash	-20.0000	1.0000	1.0000
	wh3_main_sc_dae_daemons	mixer_nag_nagash	-200.0000	2.0000	0.5000
	wh3_main_sc_kho_khorne	mixer_nag_nagash	-200.0000	2.0000	0.5000
	wh3_main_sc_nur_nurgle	mixer_nag_nagash	-200.0000	2.0000	0.5000
	wh3_main_sc_ogr_ogre_kingdoms	mixer_nag_nagash	-20.0000	1.0000	1.0000
	wh3_main_sc_sla_slaanesh	mixer_nag_nagash	-200.0000	2.0000	0.5000
	wh3_main_sc_tze_tzeentch	mixer_nag_nagash	-200.0000	2.0000	0.5000
	wh_dlc03_sc_bst_beastmen	mixer_nag_nagash	-80.0000	1.5000	0.7500
	wh_dlc05_sc_wef_wood_elves	mixer_nag_nagash	-50.0000	1.0000	1.0000
	wh_dlc08_sc_nor_norsca	mixer_nag_nagash	-80.0000	1.5000	0.7500
	wh_main_sc_brt_bretonnia	mixer_nag_nagash	-20.0000	1.0000	1.0000
	wh_main_sc_chs_chaos	mixer_nag_nagash	-80.0000	1.5000	0.7500
	wh_main_sc_dwf_dwarfs	mixer_nag_nagash	-80.0000	1.5000	0.7500
	wh_main_sc_emp_empire	mixer_nag_nagash	-80.0000	1.5000	0.7500
	wh_main_sc_grn_greenskins	mixer_nag_nagash	-80.0000	1.5000	0.7500
	wh_main_sc_grn_savage_orcs	mixer_nag_nagash	-80.0000	1.5000	0.7500
	wh_main_sc_teb_teb	mixer_nag_nagash	-20.0000	1.0000	1.0000
	wh_main_sc_vmp_vampire_counts	mixer_nag_nagash	-20.0000	1.0000	1.0000
	mixer_nag_nagash	mixer_nag_nagash	-20.0000	1.0000	1.0000
