faction_key	campaign_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;1;db/character_skill_level_details_tables/rhox_nagash						
		1	nag_skill_unique_nagash_morikhane		x	12
		1	nag_skill_unique_nagash_mortis		x	16
		1	nag_skill_unique_nagash_book_one		x	0
		1	nag_skill_unique_nagash_book_two		x	0
		1	nag_skill_unique_nagash_book_three		x	0
		1	nag_skill_unique_nagash_book_four		x	0
		1	nag_skill_unique_nagash_book_five		x	0
		1	nag_skill_unique_nagash_book_six		x	0
		1	nag_skill_unique_nagash_book_seven		x	0
		1	nag_skill_unique_nagash_book_eight		x	0
		1	nag_skill_unique_nagash_book_nine		x	0
		1	nag_skill_unique_nagash_husk_book_two		x	0
		1	nag_skill_unique_nagash_husk_book_three		x	0
		1	nag_skill_unique_nagash_husk_book_eight		x	0
		1	nag_skill_unique_nagash_alakanash		x	6
		1	nag_skill_unique_vlad_blood_drinker		x	5
		1	nag_skill_unique_vlad_the_carstein_ring		x	11
		1	nag_skill_mount_luthor_harkon_terrorgheist		x	15
		1	nag_skill_unique_luthor_slann_gold		x	12
		1	nag_skill_unique_isabella_blood_chalice_of_bathori		x	6
		1	nag_skill_mount_isabella_barded_nightmare		x	7
		1	nag_skill_mount_isabella_hellsteed		x	9
		1	nag_skill_mount_arkhan_skeletal_steed		x	5
		1	nag_skill_mount_arkhan_skeleton_chariot		x	12
		1	nag_skill_mount_arkhan_abyssal		x	16
		1	nag_skill_unique_arkhan_staff_of_nagash		x	7
		1	nag_skill_unique_arkhan_the_tomb_blade_of_arkhan		x	3
		1	nag_skill_mount_mannfred_barded_nightmare		x	6
		1	nag_skill_mount_mannfred_abyssal		x	16
		1	nag_skill_unique_mannfred_armour_of_templehof		x	10
		1	nag_skill_unique_mannfred_sword_of_unholy_power		x	5
		1	nag_skill_mount_neferata_warhorse		x	6
		1	nag_skill_mount_neferata_hellsteed		x	9
		1	nag_skill_mount_neferata_abyssal		x	16
		1	nag_skill_unique_neferatal_dagger_of_jet		x	7
		1	nag_skill_unique_neferatal_staff_of_pain		x	11
		1	nag_skill_personal_neferata_dancer		x	24
		1	nag_skill_unique_krell_chaos_tomb_blade		x	7
		1	nag_skill_unique_krell_armour_of_the_barrows		x	9
		1	nag_skill_unique_krell_black_axe_of_krell		x	12
		1	nag_skill_unique_vlad_von_carstein_mesmerising_aura		x	14
		1	nag_skill_archai_heralds_of_the_accursed_one		x	8
		1	nag_skill_archai_ebon_wrought_armour		x	16
		1	nag_skill_archai_undying_servitude		x	10
		1	nag_skill_archai_gift_of_oblivion		x	18
		1	nag_lord_unique_tomb_king_skeletal_steed		x	3
		1	nag_lord_unique_tomb_king_skeleton_chariot		x	9
		1	nag_lord_unique_tomb_king_khemrian_warsphinx		x	13
		1	nag_champion_unique_tomb_prince_skeletal_steed		x	3
		1	nag_champion_unique_tomb_prince_skeleton_chariot		x	9
		1	nag_wizard_unique_liche_priest_death_skeletal_steed		x	6
		1	nag_wizard_unique_liche_priest_light_skeletal_steed		x	6
		1	nag_wizard_unique_liche_priest_nehekhara_skeletal_steed		x	6
		1	nag_wizard_unique_liche_priest_shadow_skeletal_steed		x	6
		1	nag_wizard_unique_liche_priest_undeath_skeletal_steed		x	6
		1	nag_dignitary_shadow_unique_vampire_barded_nightmare		x	7
		1	nag_dignitary_shadow_unique_vampire_hellsteed		x	9
		1	nag_dignitary_unique_vampire_barded_nightmare		x	7
		1	nag_dignitary_unique_vampire_hellsteed		x	9
		1	nag_vmp_champion_unique_wight_king_skeletal_steed		x	3
		1	nag_vmp_champion_unique_wight_king_barded_skeletal_steed		x	6
		1	nag_cst_engineer_unique_gunnery_wight_rotting_pro		x	9
		1	nag_skill_personal_nagash_supreme_lord		x	11
		1	nag_skill_personal_nagash_undying_king		x	29
		1	nag_skill_personal_nagash_great_necromancer		x	24
		1	nag_skill_personal_nagash_world_at_peace		x	32
		1	nag_skill_personal_nagash_fate_of_flesh		x	17
		1	nag_skill_personal_arkhan_unique_3		x	9
		1	nag_skill_personal_arkhan_unique_4		x	9
		1	nag_skill_personal_arkhan_unique_5		x	11
		1	nag_skill_tomb_king_elixir_of_immortality_lord		x	11
		1	nag_skill_vmp_dieter_helsnicht_item_01		x	7
		1	nag_skill_vmp_dieter_helsnicht_item_02		x	10
		1	nag_skill_azhag_anc_armour_azhags_ard_armour		x	11
		1	nag_skill_azhag_anc_enchanted_item_the_crown_of_sorcery		x	6
		1	nag_skill_azhag_anc_weapon_slaggas_slashas		x	16
		1	nag_skill_grn_azhag_unique_0		x	11
		1	nag_skill_grn_azhag_tyrant		x	3
		1	nag_skill_unique_nagash_hate_skaven		x	2
		1	nag_skill_unique_nagash_hate_daemons		x	2
		1	nag_skill_unique_nagash_hate_traitors		x	2
		1	nag_skill_unique_nagash_hate_equal		x	2
		1	nag_lord_unique_vmp_master_necromancer_barded_nightmare		x	7
		1	nag_lord_unique_vmp_master_necromancer_hellsteed		x	9
		1	nag_lord_unique_master_necromancer_corpse_cart		x	9
		1	nag_lord_unique_master_necromancer_corpse_cart_balefire		x	12
		1	nag_lord_unique_master_necromancer_corpse_cart_unholy_lodestone		x	15
		1	nag_lord_unique_vampire_lord_barded_nightmare		x	7
		1	nag_lord_unique_vampire_lord_hellsteed		x	9
		1	nag_lord_unique_vampire_lord_zombie_dragon		x	17
		2	nag_lord_unique_necromancer_leading_dead		x	12
		2	nag_lord_unique_necromancer_raising_dead		x	12
		1	nag_Soulreaper		x	9
		1	nag_dread_black_jewel		x	11
		1	nag_elo_hand_punished_one		x	11
		1	nag_elo_hungering_blade		x	6
		1	nag_mixu_cst_drekla_weapon_the_silver_hook_of_sartosa		x	15
		1	nag_mixu_cst_drekla_talisman_king_kalhazzars_sun_blanched_skull		x	7
		1	nag_skill_grn_lord_unique_azhag_skullmuncha		x	13
		1	nag_skill_personal_dk_dread_aura		x	9
