campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;0;db/character_skill_level_details_tables/nagash_skills						
		1	nag_skill_unique_nagash_morikhane		x	13
		1	nag_skill_unique_nagash_mortis		x	17
		1	nag_skill_unique_nagash_book_one		x	0
		1	nag_skill_unique_nagash_book_two		x	0
		1	nag_skill_unique_nagash_book_three		x	0
		1	nag_skill_unique_nagash_book_four		x	0
		1	nag_skill_unique_nagash_book_five		x	0
		1	nag_skill_unique_nagash_book_six		x	0
		1	nag_skill_unique_nagash_book_seven		x	0
		1	nag_skill_unique_nagash_book_eight		x	0
		1	nag_skill_unique_nagash_book_nine		x	0
		1	nag_skill_unique_nagash_alakanash		x	7
		1	nag_skill_unique_nagash_crown		x	0
		1	nag_skill_unique_vlad_blood_drinker		x	6
		1	nag_skill_unique_vlad_the_carstein_ring		x	0
		1	nag_skill_mount_luthor_harkon_terrorgheist		x	16
		1	nag_skill_unique_luthor_slann_gold		x	13
		1	nag_skill_unique_isabella_blood_chalice_of_bathori		x	7
		1	nag_skill_mount_isabella_barded_nightmare		x	7
		1	nag_skill_mount_isabella_hellsteed		x	9
		1	nag_skill_mount_arkhan_skeletal_steed		x	5
		1	nag_skill_mount_arkhan_skeleton_chariot		x	12
		1	nag_skill_mount_arkhan_abyssal		x	16
		1	nag_skill_unique_arkhan_staff_of_nagash		x	8
		1	nag_skill_unique_arkhan_the_tomb_blade_of_arkhan		x	4
		1	nag_skill_mount_mannfred_barded_nightmare		x	6
		1	nag_skill_mount_mannfred_abyssal		x	16
		1	nag_skill_unique_mannfred_armour_of_templehof		x	11
		1	nag_skill_unique_mannfred_sword_of_unholy_power		x	6
		1	nag_skill_mount_neferata_warhorse		x	6
		1	nag_skill_mount_neferata_abyssal		x	16
		1	nag_skill_unique_neferatal_dagger_of_jet		x	8
		1	nag_skill_unique_neferatal_staff_of_pain		x	12
		1	nag_skill_unique_krell_chaos_tomb_blade		x	8
		1	nag_skill_unique_krell_armour_of_the_barrows		x	10
		1	nag_skill_unique_krell_black_axe_of_krell		x	13
		1	nag_skill_mannfred_unique_loremaster_lore_of_vampires		x	8
		1	nag_skill_unique_vlad_von_carstein_mesmerising_aura		x	14
		1	nag_skill_archai_heralds_of_the_accursed_one		x	8
		1	nag_skill_archai_ebon_wrought_armour		x	16
		1	nag_skill_archai_undying_servitude		x	10
		1	nag_skill_archai_gift_of_oblivion		x	18
		1	nag_lord_unique_tomb_king_skeletal_steed		x	3
		1	nag_lord_unique_tomb_king_skeleton_chariot		x	9
		1	nag_lord_unique_tomb_king_khemrian_warsphinx		x	13
		1	nag_champion_unique_tomb_prince_skeletal_steed		x	3
		1	nag_champion_unique_tomb_prince_skeleton_chariot		x	9
		1	nag_wizard_unique_liche_priest_death_skeletal_steed		x	6
		1	nag_wizard_unique_liche_priest_light_skeletal_steed		x	6
		1	nag_wizard_unique_liche_priest_nehekhara_skeletal_steed		x	6
		1	nag_wizard_unique_liche_priest_shadow_skeletal_steed		x	6
		1	nag_wizard_unique_liche_priest_undeath_skeletal_steed		x	6
		1	nag_dignitary_shadow_unique_vampire_barded_nightmare		x	7
		1	nag_dignitary_shadow_unique_vampire_hellsteed		x	9
		1	nag_dignitary_unique_vampire_barded_nightmare		x	7
		1	nag_dignitary_unique_vampire_hellsteed		x	9
		1	nag_vmp_champion_unique_wight_king_skeletal_steed		x	3
		1	nag_vmp_champion_unique_wight_king_barded_skeletal_steed		x	6
		1	nag_cst_engineer_unique_gunnery_wight_rotting_pro		x	9
		1	nag_skill_personal_nagash_supreme_lord		x	11
		1	nag_skill_personal_nagash_undying_king		x	29
		1	nag_skill_personal_nagash_great_necromancer		x	24
		1	nag_skill_personal_nagash_world_at_peace		x	32
		1	nag_skill_personal_nagash_fate_of_flesh		x	17
