issuer_key	mission_key
#cdir_events_mission_issuer_junctions_tables;1;db/cdir_events_mission_issuer_junctions_tables/rhox_nagash	
CLAN_ELDERS	nagash_intro_1
CLAN_ELDERS	nagash_intro_2
CLAN_ELDERS	nagash_intro_3
CLAN_ELDERS	nagash_intro_4
CLAN_ELDERS	nagash_intro_5
CLAN_ELDERS	nag_nagash_capture_settlement_khemri
CLAN_ELDERS	nag_nagash_capture_settlement_mourkain
CLAN_ELDERS	nag_nagash_capture_settlement_drakenhof
CLAN_ELDERS	nag_nagash_capture_settlement_lahmia
CLAN_ELDERS	nag_nagash_capture_settlement_quintex
CLAN_ELDERS	nag_mortarch_vlad_unlock
CLAN_ELDERS	nag_mortarch_luthor_unlock
CLAN_ELDERS	nag_waprstone_mines
CLAN_ELDERS	nag_endgame_capture
CLAN_ELDERS	nag_bp_raise
