issuer_key	mission_key
#cdir_events_mission_issuer_junctions_tables;1;db/cdir_events_mission_issuer_junctions_tables/rhox_nagash_generated	
CLAN_ELDERS	nag_assassinate_character_agent_brt
CLAN_ELDERS	nag_assassinate_character_agent_bst
CLAN_ELDERS	nag_assassinate_character_agent_chs
CLAN_ELDERS	nag_assassinate_character_agent_def
CLAN_ELDERS	nag_assassinate_character_agent_dwf
CLAN_ELDERS	nag_assassinate_character_agent_emp
CLAN_ELDERS	nag_assassinate_character_agent_grn
CLAN_ELDERS	nag_assassinate_character_agent_hef
CLAN_ELDERS	nag_assassinate_character_agent_lzd
CLAN_ELDERS	nag_assassinate_character_agent_skv
CLAN_ELDERS	nag_assassinate_character_agent_tmb
CLAN_ELDERS	nag_assassinate_character_agent_vmp
CLAN_ELDERS	nag_assassinate_character_agent_wef
CLAN_ELDERS	nag_capture_regions_brt
CLAN_ELDERS	nag_capture_regions_def
CLAN_ELDERS	nag_capture_regions_dwf
CLAN_ELDERS	nag_capture_regions_emp
CLAN_ELDERS	nag_capture_regions_grn
CLAN_ELDERS	nag_capture_regions_hef
CLAN_ELDERS	nag_capture_regions_lzd
CLAN_ELDERS	nag_capture_regions_skv
CLAN_ELDERS	nag_capture_regions_tmb
CLAN_ELDERS	nag_capture_regions_vmp
CLAN_ELDERS	nag_capture_regions_wef
CLAN_ELDERS	nag_declare_war_brt
CLAN_ELDERS	nag_declare_war_bst
CLAN_ELDERS	nag_declare_war_chs
CLAN_ELDERS	nag_declare_war_def
CLAN_ELDERS	nag_declare_war_dwf
CLAN_ELDERS	nag_declare_war_emp
CLAN_ELDERS	nag_declare_war_grn
CLAN_ELDERS	nag_declare_war_hef
CLAN_ELDERS	nag_declare_war_lzd
CLAN_ELDERS	nag_declare_war_skv
CLAN_ELDERS	nag_declare_war_tmb
CLAN_ELDERS	nag_declare_war_vmp
CLAN_ELDERS	nag_declare_war_wef
CLAN_ELDERS	nag_diplomatic_assassinate_character
CLAN_ELDERS	nag_diplomatic_capture_region
CLAN_ELDERS	nag_diplomatic_eliminate_character_in_battle
CLAN_ELDERS	nag_diplomatic_engage_force
CLAN_ELDERS	nag_diplomatic_raid_region
CLAN_ELDERS	nag_diplomatic_raze_sack_settlement
CLAN_ELDERS	nag_eliminate_character_in_battle_high_rank_brt
CLAN_ELDERS	nag_eliminate_character_in_battle_high_rank_bst
CLAN_ELDERS	nag_eliminate_character_in_battle_high_rank_chs
CLAN_ELDERS	nag_eliminate_character_in_battle_high_rank_def
CLAN_ELDERS	nag_eliminate_character_in_battle_high_rank_dwf
CLAN_ELDERS	nag_eliminate_character_in_battle_high_rank_emp
CLAN_ELDERS	nag_eliminate_character_in_battle_high_rank_grn
CLAN_ELDERS	nag_eliminate_character_in_battle_high_rank_hef
CLAN_ELDERS	nag_eliminate_character_in_battle_high_rank_lzd
CLAN_ELDERS	nag_eliminate_character_in_battle_high_rank_skv
CLAN_ELDERS	nag_eliminate_character_in_battle_high_rank_tmb
CLAN_ELDERS	nag_eliminate_character_in_battle_high_rank_vmp
CLAN_ELDERS	nag_eliminate_character_in_battle_high_rank_wef
CLAN_ELDERS	nag_engage_force_army_brt
CLAN_ELDERS	nag_engage_force_army_bst
CLAN_ELDERS	nag_engage_force_army_chs
CLAN_ELDERS	nag_engage_force_army_def
CLAN_ELDERS	nag_engage_force_army_dwf
CLAN_ELDERS	nag_engage_force_army_emp
CLAN_ELDERS	nag_engage_force_army_grn
CLAN_ELDERS	nag_engage_force_army_hef
CLAN_ELDERS	nag_engage_force_army_invading_brt
CLAN_ELDERS	nag_engage_force_army_invading_bst
CLAN_ELDERS	nag_engage_force_army_invading_chs
