bonus_value_id	effect	subtype
#effect_bonus_value_agent_subtype_junctions_tables;0;db/effect_bonus_value_agent_subtype_junctions_tables/nagash		
availability	nag_effect_agent_enable_recruitment_champion_tmb	nag_tomb_prince
availability	nag_effect_agent_enable_recruitment_champion_vmp	nag_wight_king
availability	nag_effect_agent_enable_recruitment_wizard_tmb	nag_liche_priest_death
availability	nag_effect_agent_enable_recruitment_wizard_tmb	nag_liche_priest_light
availability	nag_effect_agent_enable_recruitment_wizard_tmb	nag_liche_priest_nehekhara
availability	nag_effect_agent_enable_recruitment_wizard_tmb	nag_liche_priest_shadow
availability	nag_effect_agent_enable_recruitment_special_wizard_tmb	nag_liche_priest_undeath
availability	nag_effect_agent_enable_recruitment_dignitary_vmp	nag_vampire
availability	nag_effect_agent_enable_recruitment_dignitary_vmp	nag_vampire_shadow
availability	nag_effect_agent_enable_recruitment_engineer_cst	nag_gunnery_wight
availability	nag_effect_agent_enable_recruitment_archai	nag_morghasts_archai
cap	nag_effect_agent_cap_increase_prince	nag_tomb_prince
cap	nag_effect_agent_cap_increase_wight	nag_wight_king
recruitment_level	nag_effect_agent_recruitment_xp_champion_tomb_prince	nag_tomb_prince
recruitment_level	nag_effect_agent_recruitment_xp_champion_tomb_prince_hidden	nag_tomb_prince
