unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;36;db/main_units_tables/nagash_units																																																	
nag_nagash_husk		-1	lord	1	false	nag_nagash_husk	1	0	350	wh_main_shp_transport	1	1	1	0	900			175	heavy		false	false	0	8853	false		wh_main_vo_culture_Vampire	lord_wizard_death	lord_wizard_death	0	true	vamp_lord		true	false		350.0	0.0	false	vo_culture_None	true	wh_main_vo_actor_Vampire_MasterNecromancer	0	true	false	0	false	false	
nag_nagash_revenant		-1	lord	1	false	nag_nagash_revenant	1	0	1000	wh_main_shp_transport	1	1	1	0	1000			0	medium		false	false	0	1202105519	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_death	lord_wizard_death	0	true	tmb_general		true	false		1100.0	0.0	false	vo_culture_None	true	wh_main_vo_actor_Vampire_MasterNecromancer	0	true	false	0	false	false	
nag_nagash_boss		-1	lord	1	false	nag_nagash_boss	1	0	1450	wh_main_shp_transport	1	1	1	0	1450			0	medium		false	false	0	1521492725	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_vampires	lord_wizard_vampires	0	true	tmb_general		true	false		1450.0	0.0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Unit	0	true	false	0	false	false	
nag_mortarch_neferata		-1	lord	1	false	nag_mortarch_neferata	1	0	950	wh_main_shp_transport	1	1	1	0	950			250	heavy		false	false	0	11937	false		wh_main_vo_culture_Vampire	lord_wizard_vampires	lord_wizard_vampires	0	true	vamp_lord		true	false		950.0	0.0	false	vo_culture_None	true	wh_pro02_vo_actor_Vampire_Isabella_Von_Carstein	0	true	false	0	false	false	
nag_mortarch_neferata_warhorse		-1	lord	1	false	nag_mortarch_neferata_warhorse	1	0	1200	wh_main_shp_transport	1	1	1	0	1300			325	heavy		false	false	0	10097	false		wh_main_vo_culture_Vampire	lord_wizard_vampires	lord_wizard_vampires	0	true	vamp_lord	wh_main_cam_mnt_vmp_barded_nightmare	true	false		1200.0	0.0	false	vo_culture_None	true	wh_main_vo_actor_Vampire_MannfredVonCarstein	0	true	false	0	false	false	
nag_mortarch_neferata_abyssal		-1	lord	1	false	nag_mortarch_neferata_abyssal	1	0	1840	wh_main_shp_transport	1	1	1	0	0			0	medium		false	false	0	700391768	false		wh_main_vo_culture_Vampire	lord_wizard_vampires	lord_wizard_vampires	0	true	vamp_lord	nag_cam_abyssal_adevore	true	false		1000.0	0.0	true	vo_culture_None	true	wh_pro02_vo_actor_Vampire_Isabella_Von_Carstein	0	true	false	0	false	false	
nag_mortarch_krell		-1	lord	1	false	nag_mortarch_krell	1	0	800	wh_main_shp_transport	1	1	1	0	1200			300	heavy		false	false	0	1433007739	false		wh_main_vo_culture_Vampire	vmp_wight_king	vmp_wight_king	0	true	vamp_lord		true	false		800.0	0.0	false	vo_culture_None	true	wh_pro03_vo_actor_Vampire_chaos_Krell	0	false	false	0	false	false	
nag_mortarch_vlad		-1	lord	1	false	nag_mortarch_vlad	1	0	1200	wh_main_shp_transport	1	1	1	0	1000			250	heavy		false	false	0	11266	false		wh_main_vo_culture_Vampire	lord_wizard_vampires	lord_wizard_vampires	0	true	vamp_lord		true	false		1200.0	0.0	true	vo_culture_None	true	wh_dlc04_vo_actor_Vampire_dlc04_Vlad_Von_Carstein	0	true	false	0	false	false	
nag_mortarch_mannfred		-1	lord	1	false	nag_mortarch_mannfred	1	0	950	wh_main_shp_transport	1	1	1	0	1200			300	heavy		false	false	0	7571	false		wh_main_vo_culture_Vampire	lord_wizard_vampires	lord_wizard_vampires	0	true	vamp_lord		true	false		950.0	0.0	false	vo_culture_None	true	wh_main_vo_actor_Vampire_MannfredVonCarstein	0	true	false	0	false	false	
