building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
nag_outpost_primary_main_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	4.0	1.0	1.0
nag_outpost_primary_main_1	wh_main_effect_religion_osmosis_undeath	region_to_province_own	2.0	1.0	0.0
nag_outpost_primary_main_1	wh_main_effect_economy_gdp_culture	building_to_building_own	100.0	50.0	0.0
nag_outpost_primary_main_2	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	2.0	1.0	1.0
nag_outpost_primary_main_2	wh_main_effect_construction_slot_multiple_dummy	this_building	2.0	2.0	2.0
nag_outpost_primary_main_2	wh_main_effect_economy_gdp_subsistance	building_to_building_own	45.0	23.0	0.0
nag_outpost_primary_main_2	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	region_to_region_own	2.0	2.0	2.0
nag_outpost_primary_main_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_2	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
nag_outpost_primary_main_3	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	3.0	1.0	1.0
nag_outpost_primary_main_3	wh_main_effect_construction_slot_multiple_dummy	this_building	3.0	3.0	3.0
nag_outpost_primary_main_3	wh_main_effect_economy_gdp_subsistance	building_to_building_own	60.0	30.0	0.0
nag_outpost_primary_main_3	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	region_to_region_own	2.0	2.0	2.0
nag_outpost_primary_main_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_3	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
nag_outpost_primary_main_4	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	4.0	1.0	1.0
nag_outpost_primary_main_4	wh_main_effect_construction_slot_multiple_dummy	this_building	5.0	5.0	5.0
nag_outpost_primary_main_4	wh_main_effect_economy_gdp_subsistance	building_to_building_own	75.0	38.0	0.0
nag_outpost_primary_main_4	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	region_to_region_own	2.0	2.0	2.0
nag_outpost_primary_main_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_4	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
nag_outpost_primary_main_5	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	5.0	1.0	1.0
nag_outpost_primary_main_5	wh_main_effect_construction_slot_multiple_dummy	this_building	7.0	7.0	7.0
nag_outpost_primary_main_5	wh_main_effect_economy_gdp_subsistance	building_to_building_own	90.0	45.0	0.0
nag_outpost_primary_main_5	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	region_to_region_own	2.0	2.0	2.0
nag_outpost_primary_main_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_5	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
nag_outpost_primary_main_coast_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	4.0	1.0	1.0
nag_outpost_primary_main_coast_1	wh_main_effect_religion_osmosis_undeath	region_to_province_own	2.0	1.0	0.0
nag_outpost_primary_main_coast_1	wh_main_effect_economy_gdp_culture	building_to_building_own	100.0	50.0	0.0
nag_outpost_primary_main_coast_2	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	2.0	1.0	1.0
nag_outpost_primary_main_coast_2	wh_main_effect_construction_slot_multiple_dummy	this_building	2.0	2.0	2.0
nag_outpost_primary_main_coast_2	wh_main_effect_economy_gdp_subsistance	building_to_building_own	45.0	23.0	0.0
nag_outpost_primary_main_coast_2	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	region_to_region_own	2.0	2.0	2.0
nag_outpost_primary_main_coast_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_coast_2	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
nag_outpost_primary_main_coast_3	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	3.0	1.0	1.0
nag_outpost_primary_main_coast_3	wh_main_effect_construction_slot_multiple_dummy	this_building	3.0	3.0	3.0
nag_outpost_primary_main_coast_3	wh_main_effect_economy_gdp_subsistance	building_to_building_own	60.0	30.0	0.0
nag_outpost_primary_main_coast_3	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	region_to_region_own	2.0	2.0	2.0
nag_outpost_primary_main_coast_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_coast_3	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
nag_outpost_primary_main_coast_4	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	4.0	1.0	1.0
nag_outpost_primary_main_coast_4	wh_main_effect_construction_slot_multiple_dummy	this_building	5.0	5.0	5.0
nag_outpost_primary_main_coast_4	wh_main_effect_economy_gdp_subsistance	building_to_building_own	75.0	38.0	0.0
nag_outpost_primary_main_coast_4	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	region_to_region_own	2.0	2.0	2.0
nag_outpost_primary_main_coast_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_coast_4	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
nag_outpost_primary_main_coast_5	wh_dlc03_effect_technology_research_points	faction_to_faction_own_unseen	5.0	1.0	1.0
nag_outpost_primary_main_coast_5	wh_main_effect_construction_slot_multiple_dummy	this_building	7.0	7.0	7.0
nag_outpost_primary_main_coast_5	wh_main_effect_economy_gdp_subsistance	building_to_building_own	90.0	45.0	0.0
nag_outpost_primary_main_coast_5	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	region_to_region_own	2.0	2.0	2.0
nag_outpost_primary_main_coast_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_coast_5	wh_main_effect_settlement_walls_hidden	region_to_region_own	1.0	1.0	1.0
nag_outpostnorsca_primary_main_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	4.0	1.0	1.0
nag_outpostnorsca_primary_main_1	wh_main_effect_religion_osmosis_undeath	region_to_province_own	2.0	1.0	0.0
nag_outpostnorsca_primary_main_1	wh_main_effect_economy_gdp_culture	building_to_building_own	100.0	50.0	0.0
nag_outpostnorsca_primary_main_coast_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	4.0	1.0	1.0
nag_outpostnorsca_primary_main_coast_1	wh_main_effect_religion_osmosis_undeath	region_to_province_own	2.0	1.0	0.0
nag_outpostnorsca_primary_main_coast_1	wh_main_effect_economy_gdp_culture	building_to_building_own	100.0	50.0	0.0
nag_outpostnorsca_primary_main_coast_1	wh_main_effect_construction_slot_dummy	this_building	2.0	2.0	2.0
nag_outpost_secondary_main_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	4.0	1.0	1.0
nag_outpost_secondary_main_1	wh_main_effect_religion_osmosis_undeath	region_to_province_own	2.0	1.0	0.0
nag_outpost_secondary_main_1	wh_main_effect_economy_gdp_culture	building_to_building_own	50.0	25.0	0.0
nag_outpost_secondary_main_coast_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	4.0	1.0	1.0
nag_outpost_secondary_main_coast_1	wh_main_effect_religion_osmosis_undeath	region_to_province_own	2.0	1.0	0.0
nag_outpost_secondary_main_coast_1	wh_main_effect_construction_slot_dummy	this_building	2.0	2.0	2.0
nag_outpost_secondary_main_coast_1	wh_main_effect_economy_gdp_culture	building_to_building_own	50.0	25.0	0.0
nag_outpostnorsca_secondary_main_1	wh_main_effect_religion_conversion_undeath	region_to_region_own	4.0	1.0	1.0
nag_outpostnorsca_secondary_main_1	wh_main_effect_religion_osmosis_undeath	region_to_province_own	2.0	1.0	0.0
