building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/rhox_nagash_resource_global						
nag_resource_gemstones_1	nag_effect_resource_xp_rank_ethereal		building_to_force_own_provincewide_unseen	1.0000	1.0000	0.0000
nag_resource_gemstones_2	nag_effect_resource_xp_rank_ethereal		building_to_force_own_provincewide_unseen	2.0000	1.0000	0.0000
nag_resource_gemstones_3	nag_effect_resource_xp_rank_ethereal		building_to_force_own_provincewide_unseen	3.0000	1.0000	0.0000
nag_resource_gemstones_3	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod		faction_to_force_own	10.0000	5.0000	0.0000
nag_resource_obsidian_1	nag_effect_resource_xp_rank_nagashizzar		building_to_force_own_provincewide_unseen	1.0000	1.0000	0.0000
nag_resource_obsidian_2	nag_effect_resource_xp_rank_nagashizzar		building_to_force_own_provincewide_unseen	2.0000	1.0000	0.0000
nag_resource_obsidian_2	wh_main_effect_force_stat_magic_resistance		building_to_force_own_factionwide	2.0000	1.0000	0.0000
nag_resource_obsidian_3	nag_effect_resource_xp_rank_nagashizzar		building_to_force_own_provincewide_unseen	3.0000	1.0000	0.0000
nag_resource_obsidian_3	wh_main_effect_force_stat_magic_resistance		building_to_force_own_factionwide	4.0000	2.0000	0.0000
nag_resource_obsidian_3	nag_effect_agent_recruitment_xp_spy_archai		province_to_province_own_factionwide	1.0000	1.0000	0.0000
nag_resource_dyes_1	wh_main_effect_economy_gdp_culture		building_to_building_own	85.0000	25.0000	0.0000
nag_resource_dyes_1	nag_effect_resource_xp_rank_count		building_to_force_own_provincewide_unseen	1.0000	1.0000	0.0000
nag_resource_dyes_2	wh_main_effect_economy_gdp_culture		building_to_building_own	125.0000	25.0000	0.0000
nag_resource_dyes_2	nag_effect_force_army_battle_leadership_all_defending		building_to_force_own_factionwide	3.0000	2.0000	0.0000
nag_resource_dyes_2	nag_effect_resource_xp_rank_count		building_to_force_own_provincewide_unseen	2.0000	1.0000	0.0000
nag_resource_dyes_3	wh_main_effect_economy_gdp_culture		building_to_building_own	200.0000	25.0000	0.0000
nag_resource_dyes_3	nag_effect_force_army_battle_leadership_all_defending		building_to_force_own_factionwide	6.0000	2.0000	0.0000
nag_resource_dyes_3	nag_effect_resource_xp_rank_count		building_to_force_own_provincewide_unseen	3.0000	1.0000	0.0000
nag_resource_dyes_3	nag_effect_agent_recruitment_xp_champion_wight_king_tomb_prince		province_to_province_own_factionwide	1.0000	1.0000	0.0000
nag_resource_dyes_3	nag_effect_agent_recruitment_xp_champion_wight_king_tomb_prince_hidden		faction_to_force_own	1.0000	1.0000	0.0000
nag_resource_furs_1	wh_main_effect_economy_gdp_culture		building_to_building_own	85.0000	25.0000	0.0000
nag_resource_furs_1	wh_main_effect_force_army_campaign_experience_base_ranged_units		building_to_force_own_provincewide_unseen	1.0000	1.0000	0.0000
nag_resource_furs_2	wh_main_effect_economy_gdp_culture		building_to_building_own	125.0000	25.0000	0.0000
nag_resource_furs_2	wh_main_effect_force_army_campaign_experience_base_ranged_units		building_to_force_own_provincewide_unseen	2.0000	1.0000	0.0000
nag_resource_furs_3	wh_main_effect_economy_gdp_culture		building_to_building_own	200.0000	25.0000	0.0000
nag_resource_furs_3	wh_main_effect_force_army_campaign_experience_base_ranged_units		building_to_force_own_provincewide_unseen	3.0000	1.0000	0.0000
nag_resource_furs_3	wh_main_effect_force_stat_ammunition		building_to_force_own_factionwide	4.0000	2.0000	0.0000
nag_resource_iron_1	wh_main_effect_force_army_campaign_experience_base_infantry		building_to_force_own_provincewide_unseen	1.0000	1.0000	0.0000
nag_resource_iron_2	wh_main_effect_force_army_campaign_experience_base_infantry		building_to_force_own_provincewide_unseen	2.0000	1.0000	0.0000
nag_resource_iron_3	wh_main_effect_force_army_campaign_experience_base_infantry		building_to_force_own_provincewide_unseen	3.0000	1.0000	0.0000
nag_resource_iron_3	wh_main_effect_force_stat_melee_defence_infantry		building_to_force_own_factionwide	2.0000	1.0000	0.0000
nag_resource_pottery_2	wh_main_effect_economy_gdp_culture		building_to_building_own	200.0000	50.0000	0.0000
nag_resource_pottery_3	wh_main_effect_economy_gdp_culture		building_to_building_own	300.0000	50.0000	0.0000
nag_resource_pottery_3	wh_main_effect_economy_gdp_mod_all		province_to_region_own_factionwide	5.0000	2.0000	0.0000
nag_resource_pottery_3	nag_effect_agent_recruitment_xp_wizard_liche_priests		province_to_province_own_factionwide	1.0000	1.0000	0.0000
nag_resource_pottery_3	nag_effect_agent_recruitment_xp_wizard_liche_priests_hidden		faction_to_force_own	1.0000	1.0000	0.0000
nag_resource_salt_1	nag_effect_horde_growth		building_to_force_own_factionwide	5.0000	5.0000	0.0000
nag_resource_salt_1	nag_effect_resource_xp_rank_zombie		building_to_force_own_provincewide_unseen	1.0000	1.0000	0.0000
nag_resource_salt_2	nag_effect_horde_growth		building_to_force_own_factionwide	10.0000	5.0000	0.0000
nag_resource_salt_2	nag_effect_resource_xp_rank_zombie		building_to_force_own_provincewide_unseen	2.0000	1.0000	0.0000
nag_resource_salt_3	nag_effect_horde_growth		building_to_force_own_factionwide	15.0000	5.0000	0.0000
nag_resource_salt_3	nag_effect_resource_xp_rank_zombie		building_to_force_own_provincewide_unseen	3.0000	1.0000	0.0000
nag_resource_timber_1	wh_main_effect_economy_gdp_culture		building_to_building_own	85.0000	25.0000	0.0000
nag_resource_timber_1	nag_effect_resource_xp_rank_coast		building_to_force_own_provincewide_unseen	1.0000	1.0000	0.0000
nag_resource_timber_2	wh_main_effect_economy_gdp_culture		building_to_building_own	125.0000	25.0000	0.0000
nag_resource_timber_2	nag_effect_resource_xp_rank_coast		building_to_force_own_provincewide_unseen	2.0000	1.0000	0.0000
nag_resource_timber_3	wh_main_effect_economy_gdp_culture		building_to_building_own	200.0000	25.0000	0.0000
nag_resource_timber_3	nag_effect_resource_xp_rank_coast		building_to_force_own_provincewide_unseen	3.0000	1.0000	0.0000
nag_resource_timber_3	nag_effect_agent_recruitment_xp_engineer_gunnery_wight		province_to_province_own_factionwide	1.0000	1.0000	0.0000
nag_resource_timber_3	nag_effect_agent_recruitment_xp_engineer_gunnery_wight_hidden		faction_to_force_own	1.0000	1.0000	0.0000
nag_resource_wine_1	wh_main_effect_economy_gdp_culture		building_to_building_own	85.0000	25.0000	0.0000
nag_resource_wine_2	wh_main_effect_economy_gdp_culture		building_to_building_own	125.0000	25.0000	0.0000
nag_resource_wine_3	wh_main_effect_economy_gdp_culture		building_to_building_own	200.0000	25.0000	0.0000
nag_resource_wine_3	wh_main_effect_force_stat_melee_attack_cavalry		building_to_force_own_factionwide	2.0000	1.0000	0.0000
nag_resource_wine_3	nag_effect_agent_recruitment_xp_dignitary_vampires		province_to_province_own_factionwide	1.0000	1.0000	0.0000
nag_resource_wine_3	nag_effect_agent_recruitment_xp_dignitary_vampires_hidden		faction_to_force_own	1.0000	1.0000	0.0000
nag_resource_animals_1	wh_main_effect_force_army_campaign_experience_base_cavalry		building_to_force_own_provincewide_unseen	1.0000	1.0000	0.0000
nag_resource_animals_2	wh_main_effect_force_army_campaign_experience_base_cavalry		building_to_force_own_provincewide_unseen	2.0000	1.0000	0.0000
nag_resource_animals_3	wh_main_effect_force_army_campaign_experience_base_cavalry		building_to_force_own_provincewide_unseen	3.0000	1.0000	0.0000
nag_resource_animals_3	wh_main_effect_force_stat_charge_bonus_pct_cavalry		building_to_force_own_factionwide	4.0000	2.0000	0.0000
nag_resource_medicine_1	wh_main_effect_force_all_campaign_replenishment_rate		building_to_force_own_factionwide	2.0000	1.0000	0.0000
nag_resource_pasture_1	wh_main_effect_province_growth_building		region_to_province_own	30.0000	15.0000	0.0000
nag_resource_pasture_1	wh_main_effect_force_army_campaign_experience_base_war_machines		building_to_force_own_provincewide_unseen	1.0000	1.0000	0.0000
