building	effect	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/jvj_nagash_buildings_growth					
nag_outpost_norsca_primary_main_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_norsca_primary_main_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_norsca_primary_main_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_norsca_primary_main_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_norsca_primary_main_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_norsca_primary_main_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_norsca_primary_main_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_norsca_primary_main_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_norsca_primary_main_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_norsca_primary_main_coast_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_norsca_primary_main_coast_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_norsca_primary_main_coast_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_norsca_primary_main_coast_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_norsca_primary_main_coast_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_norsca_primary_main_coast_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_norsca_primary_main_coast_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_norsca_primary_main_coast_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_norsca_primary_main_coast_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_altdorf_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_altdorf_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_altdorf_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_altdorf_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_altdorf_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_altdorf_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_altdorf_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_altdorf_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_altdorf_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_athel_loren_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_athel_loren_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_athel_loren_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_athel_loren_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
nag_outpost_primary_main_athel_loren_3	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_athel_loren_4	wh_main_effect_province_growth_building	region_to_province_own	30.0	15.0	0.0
nag_outpost_primary_main_athel_loren_4	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_athel_loren_5	wh_main_effect_province_growth_building	region_to_province_own	40.0	20.0	0.0
nag_outpost_primary_main_athel_loren_5	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_black_crag_1	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_black_crag_2	wh_main_effect_province_growth_building	region_to_province_own	20.0	10.0	0.0
nag_outpost_primary_main_black_crag_2	nag_building_effect_cannot_grow_enable	region_to_province_own	-500.0	-500.0	0.0
nag_outpost_primary_main_black_crag_3	wh_main_effect_province_growth_building	region_to_province_own	25.0	12.0	0.0
