building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/jvj_nagash_buildings_mains						
nag_outpost_primary_main_1	wh3_main_effect_building_settlement_initial_supply_points		region_to_region_own	1000.0000	500.0000	0.0000
nag_outpost_primary_main_1	wh3_main_effect_corruption_vampiric_buildings		region_to_region_own	2.0000	2.0000	0.0000
nag_outpost_primary_main_1	wh_main_effect_construction_slot_dummy		this_building	1.0000	1.0000	1.0000
nag_outpost_primary_main_1	wh_main_effect_economy_gdp_subsistance		building_to_building_own	200.0000	100.0000	0.0000
nag_outpost_primary_main_1	wh_main_effect_province_growth_building		region_to_province_own	10.0000	5.0000	0.0000
nag_outpost_primary_main_1	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
nag_outpost_primary_main_2	wh3_main_effect_building_settlement_initial_supply_points		region_to_region_own	1000.0000	500.0000	0.0000
nag_outpost_primary_main_2	wh3_main_effect_corruption_vampiric_buildings		region_to_region_own	2.0000	2.0000	0.0000
nag_outpost_primary_main_2	wh_main_effect_construction_slot_multiple_dummy		this_building	2.0000	2.0000	2.0000
nag_outpost_primary_main_2	wh_main_effect_economy_gdp_subsistance		building_to_building_own	300.0000	150.0000	0.0000
nag_outpost_primary_main_2	wh_main_effect_province_growth_building		region_to_province_own	20.0000	10.0000	0.0000
nag_outpost_primary_main_2	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
nag_outpost_primary_main_3	wh2_main_effect_ability_enable_garrison_heroes		building_to_forces_own_regionwide	1.0000	1.0000	1.0000
nag_outpost_primary_main_3	wh3_main_effect_building_settlement_initial_supply_points		region_to_region_own	1000.0000	500.0000	0.0000
nag_outpost_primary_main_3	wh3_main_effect_corruption_vampiric_buildings		region_to_region_own	3.0000	2.0000	0.0000
nag_outpost_primary_main_3	wh_main_effect_construction_slot_multiple_dummy		this_building	3.0000	3.0000	3.0000
nag_outpost_primary_main_3	wh_main_effect_economy_gdp_subsistance		building_to_building_own	400.0000	200.0000	0.0000
nag_outpost_primary_main_3	wh_main_effect_province_growth_building		region_to_province_own	30.0000	15.0000	0.0000
nag_outpost_primary_main_3	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
nag_outpost_primary_main_ruin	wh3_main_effect_corruption_vampiric_buildings		region_to_region_own	2.0000	2.0000	0.0000
nag_outpost_secondary_main_1	wh3_main_effect_corruption_vampiric_buildings		region_to_region_own	4.0000	2.0000	1.0000
nag_outpost_secondary_main_1	wh_main_effect_economy_gdp_culture		building_to_building_own	75.0000	50.0000	0.0000
nag_outpost_main_port_1	wh_main_effect_economy_gdp_trade_sea		building_to_building_own	125.0000	60.0000	0.0000
