effect	bonus_value_id
#effect_bonus_value_basic_junction_tables;0;db/effect_bonus_value_basic_junction_tables/nagash	
nag_effect_horde_growth	military_force_development_growth_tech
nag_effect_horde_replenishment	replenishment_percentage_bonus
nag_effect_landmark_nagash_character_wom_reserves	max_winds_of_magic_depletion_mod_character
nag_effect_landmark_arkhan_buff_magic_attacks_scorpion	unit_is_magical
nag_effect_landmark_arkhan_buff_magic_attacks_warshpinx	unit_is_magical
nag_effect_landmark_manny_movement	mod_land_movement_campaign
nag_effect_landmark_manny_character_wom_reserves	max_winds_of_magic_depletion_mod_character
nag_effect_landmark_vlad_movement	mod_land_movement_campaign
nag_effect_landmark_neffy_horde_replenishment	unrestricted_replenishment_bonus
nag_building_effect_cannot_grow_enable	province_development_growth_added_building
nag_building_effect_cannot_grow_disable	province_development_growth_added_building
nag_nagash_trait_true_immortalitiy	recuperation_time_mod
nag_effect_grant_immortality_hero	immortal
nag_effect_grant_immortality_lord	immortal
nag_effect_force_enemy_campaign_movement_range_hidden	mod_land_movement_campaign
nag_effect_force_own_campaign_movement_range_hidden	mod_land_movement_campaign
nag_effect_force_enemy_campaign_movement_range_province	mod_land_movement_campaign
nag_effect_force_enemy_begin_fatigued_3_winded	unit_starting_fatigue_state
nag_effect_military_force_winds_of_magic_depletion_mod_character_dummy	max_winds_of_magic_depletion_mod_character
