node	tab
#technology_ui_tabs_to_technology_nodes_junctions_tables;0;db/technology_ui_tabs_to_technology_nodes_junctions_tables/rhox_nagash	
nag_location_nagashizzar	nagash_ritual
nag_location_mourkain	nagash_ritual
nag_location_lahmia	nagash_ritual
nag_location_khemri	nagash_ritual
nag_location_awakening	nagash_ritual
nag_location_drakenhof	nagash_ritual
nag_location_quintex	nagash_ritual
nag_nagash_ultimate_preprartion	nagash_ritual
nag_nagash_ultimate	nagash_ritual
nag_arkhan_battle_1	nagash_mortarch
nag_arkhan_battle_2	nagash_mortarch
nag_arkhan_battle_3	nagash_mortarch
nag_mortarch_arkhan_event_1	nagash_mortarch
nag_mortarch_arkhan_event_2	nagash_mortarch
nag_mortarch_arkhan_event_3	nagash_mortarch
nag_mortarch_arkhan_unlock	nagash_mortarch
nag_arkhan_proclamation	nagash_mortarch
nag_arkhan_archai	nagash_mortarch
nag_krell_battle_1	nagash_mortarch
nag_krell_battle_2	nagash_mortarch
nag_krell_battle_3	nagash_mortarch
nag_mortarch_krell_event_1	nagash_mortarch
nag_mortarch_krell_event_2	nagash_mortarch
nag_mortarch_krell_event_3	nagash_mortarch
nag_mortarch_krell_unlock	nagash_mortarch
nag_krell_proclamation	nagash_mortarch
nag_krell_archai	nagash_mortarch
nag_luthor_battle_1	nagash_mortarch
nag_luthor_battle_2	nagash_mortarch
nag_luthor_battle_3	nagash_mortarch
nag_mortarch_luthor_event_1	nagash_mortarch
nag_mortarch_luthor_event_2	nagash_mortarch
nag_mortarch_luthor_event_3	nagash_mortarch
nag_mortarch_luthor_unlock	nagash_mortarch
nag_luthor_proclamation	nagash_mortarch
nag_luthor_archai	nagash_mortarch
nag_mannfred_battle_1	nagash_mortarch
nag_mannfred_battle_2	nagash_mortarch
nag_mannfred_battle_3	nagash_mortarch
nag_mortarch_mannfred_event_1	nagash_mortarch
nag_mortarch_mannfred_event_2	nagash_mortarch
nag_mortarch_mannfred_event_3	nagash_mortarch
nag_mortarch_mannfred_unlock	nagash_mortarch
nag_mannfred_proclamation	nagash_mortarch
nag_mannfred_archai	nagash_mortarch
nag_neferata_battle_1	nagash_mortarch
nag_neferata_battle_2	nagash_mortarch
nag_neferata_battle_3	nagash_mortarch
nag_mortarch_neferata_event_1	nagash_mortarch
nag_mortarch_neferata_event_2	nagash_mortarch
nag_mortarch_neferata_event_3	nagash_mortarch
nag_mortarch_neferata_unlock	nagash_mortarch
nag_neferata_proclamation	nagash_mortarch
nag_neferata_archai	nagash_mortarch
nag_vlad_battle_1	nagash_mortarch
nag_vlad_battle_2	nagash_mortarch
nag_vlad_battle_3	nagash_mortarch
nag_mortarch_vlad_event_1	nagash_mortarch
nag_mortarch_vlad_event_2	nagash_mortarch
nag_mortarch_vlad_event_3	nagash_mortarch
nag_mortarch_vlad_unlock	nagash_mortarch
nag_vlad_proclamation	nagash_mortarch
nag_vlad_archai	nagash_mortarch
nag_dieter_battle_1	nagash_mortarch
nag_dieter_battle_2	nagash_mortarch
nag_dieter_battle_3	nagash_mortarch
nag_mortarch_dieter_event_1	nagash_mortarch
nag_mortarch_dieter_event_2	nagash_mortarch
nag_mortarch_dieter_event_3	nagash_mortarch
nag_mortarch_dieter_unlock	nagash_mortarch
nag_dieter_proclamation	nagash_mortarch
nag_dieter_archai	nagash_mortarch
nag_mortarch_dk_unlock	nagash_mortarch
nag_dk_archai	nagash_mortarch
nag_dk_proclamation	nagash_mortarch
nag_mortarch_dk_event_1	nagash_mortarch
nag_mortarch_dk_event_2	nagash_mortarch
nag_mortarch_dk_event_3	nagash_mortarch
nag_dk_battle_1	nagash_mortarch
nag_dk_battle_2	nagash_mortarch
nag_dk_battle_3	nagash_mortarch
