bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/nagash		
unit_damage_resistance_magic_mod	nag_effect_landmark_nagash_buff_ethereal_magic_res	nag_ethereal_unit_set
morale	nag_effect_landmark_nagash_enemy_undead_hex	nag_undead_unit_set
melee_defence_mod	nag_effect_landmark_nagash_buff_golems_defence	nag_golems_unit_set
melee_attack_mod	nag_effect_landmark_arkhan_buff_magic_attacks_scorpion	nag_scorpion_unit_set
melee_attack_mod	nag_effect_landmark_arkhan_buff_magic_attacks_warshpinx	nag_warshpinx_unit_set
unit_xp_mod	nag_effect_landmark_manny_recruit_rank_knights	nag_black_knights_unit_set
melee_attack_mod	nag_effect_landmark_neffy_buff_ushabti_melee	nag_ushabti_unit_set
melee_defence_mod	nag_effect_landmark_neffy_buff_ushabti_defence	nag_ushabti_unit_set
unit_damage_resistance_physical_mod	nag_effect_landmark_krell_buff_guard_phys	nag_grave_guard_unit_set
melee_attack_mod	nag_effect_landmark_krell_buff_guard_melee	nag_grave_guard_unit_set
unit_fatigue_resistance_mod	nag_effect_landmark_vlad_buff_dags_fatigue_res	nag_warhounds_unit_set
melee_attack_mod	nag_effect_landmark_vlad_buff_dags_melee	nag_warhounds_unit_set
melee_defence_mod	nag_effect_landmark_luthor_character_defence	nag_characters
unit_damage_resistance_magic_mod	nag_effect_landmark_luthor_magic_resistance	nag_all_units_unit_set
