key	is_hidden
#pooled_resource_factors_tables;5;db/pooled_resource_factors_tables/rhox_nagash	
nag_nagash_rituals	false
nag_warpstone_buildings	false
nag_warpstone_refund	false
nag_grand_spell_01_recharge	false
nag_grand_spell_02_recharge	false
nag_grand_spell_03_recharge	false
nag_grand_spell_used	false
rhox_nagash_battles_against_lahmia	false
rhox_nagash_diplomacy_with_lahmia	false
rhox_nagash_gift_of_neferata	false
rhox_nagash_resistance_to_coven_influence_cultural	false
rhox_nagash_resistance_to_coven_influence_regions	false
rhox_nagash_high_vampiric_corruption	false
rhox_nagash_lahmia_seductive_coven_influence	false
