member	action_result
#campaign_group_member_criteria_action_results_tables;0;db/campaign_group_member_criteria_action_results_tables/rhox_nagash	
wh2_dlc09_event_feed_agent_action_all_failure_critical_hinder_army_nagash	wh_main_agent_action_all_hinder_army_critical_failure
wh2_dlc09_event_feed_agent_action_all_failure_critical_hinder_character_nagash	wh_main_agent_action_all_hinder_character_critical_failure
wh2_dlc09_event_feed_agent_action_all_failure_critical_hinder_province_nagash	wh_main_agent_action_all_hinder_settlement_critical_failure
wh2_dlc09_event_feed_agent_action_all_failure_hinder_army_nagash	wh_main_agent_action_all_hinder_army_failure
wh2_dlc09_event_feed_agent_action_all_failure_hinder_character_nagash	wh_main_agent_action_all_hinder_character_failure
wh2_dlc09_event_feed_agent_action_all_failure_hinder_province_nagash	wh_main_agent_action_all_hinder_settlement_failure
wh2_dlc09_event_feed_agent_action_all_hinder_character_nagash	wh_main_agent_action_all_hinder_agent_success
wh2_dlc09_event_feed_agent_action_all_success_critical_hinder_character_nagash	wh_main_agent_action_all_hinder_agent_critical_success
wh2_dlc09_event_feed_agent_action_champion_hinder_army_nagash	wh2_main_agent_action_hinder_army_success_assault_units
wh2_dlc09_event_feed_agent_action_champion_hinder_settlement_plague_priest_nagash	wh2_main_agent_action_wizard_hinder_settlement_success_plague_priest_ritual
wh2_dlc09_event_feed_agent_action_champion_hinder_settlement_nagash	wh2_main_agent_action_hinder_settlement_success_assault_garrison
wh2_dlc09_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_nagash	wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual
wh2_dlc09_event_feed_agent_action_dignitary_hinder_army_nagash	wh2_main_agent_action_hinder_army_success_hinder_replenishment
wh2_dlc09_event_feed_agent_action_dignitary_hinder_settlement_nagash	wh2_main_agent_action_hinder_settlement_success_damage_building
wh2_dlc09_event_feed_agent_action_engineer_hinder_settlement_nagash	wh2_main_agent_action_hinder_settlement_success_steal_technology
wh2_dlc09_event_feed_agent_action_hinder_settlement_gain_influence_nagash	wh2_main_agent_action_hinder_settlement_success_gain_influence
wh2_dlc09_event_feed_agent_action_spy_hinder_army_nagash	wh2_main_agent_action_hinder_army_success_block_army
wh2_dlc09_event_feed_agent_action_spy_hinder_settlement_nagash	wh2_main_agent_action_hinder_settlement_success_damage_walls
wh2_dlc09_event_feed_agent_action_wizard_hinder_army_nagash	wh2_main_agent_action_hinder_army_success_assault_unit
