order	special_ability	phase
#special_ability_to_special_ability_phase_junctions_tables;1;db/special_ability_to_special_ability_phase_junctions_tables/nagash		
1	wh_main_spell_nagash_breath_of_darkness	wh_main_spell_nagash_breath_of_darkness
1	wh_main_spell_nagash_breath_of_darkness_upgraded	wh_main_spell_nagash_breath_of_darkness_upgraded
1	wh_main_spell_nagash_become_construct	wh_main_spell_nagash_become_construct
1	wh_main_spell_nagash_soul_stealer	wh_main_spell_nagash_soul_stealer
1	wh_main_spell_nagash_blyramid_pet	wh_main_spell_nagash_blyramid_pet
1	wh_main_spell_nagash_abyssal_swarm_upgrade	wh_main_spell_nagash_abyssal_swarm_upgrade
1	wh_main_spell_nagash_floating_vandus_catus	wh_main_spell_nagash_floating_vandus_catus
1	nag_unit_passive_mortal_realm_of_souls	nag_unit_passive_mortal_realm_of_souls
1	nag_krell_armour_passive_armour_of_barrow	nag_krell_armour_passive_armour_of_barrow
1	nag_vlad_passive_mortarch_of_shadows_aura_upgrade	wh2_dlc17_lord_passive_aura_of_dark_majesty_upgrade
1	nag_vlad_passive_mortarch_of_shadows_aura	wh_dlc04_lord_passive_aura_of_dark_majesty
1	nag_arkhan_abilities_mortarch_of_sacrements_swarm	wh2_dlc09_army_ability_tomb_swarm
1	nag_neferata_abilities_mortarch_of_blood_death	nag_neferata_abilities_mortarch_of_blood_death
1	nag_neferata_passive_blood_queen	nag_neferata_passive_blood_queen
1	nag_neferata_item_passive_staff_of_pain	nag_neferata_item_passive_staff_of_pain
1	nag_neferata_item_passive_dagger_of_jet	nag_neferata_item_passive_dagger_of_jet
1	nag_bound_spell_nagash_breath_of_darkness	wh_main_spell_nagash_breath_of_darkness
1	nag_bound_spell_nagash_soul_stealer	wh_main_spell_nagash_soul_stealer
1	nag_double_spell_vampires_curse_of_years	wh_main_spell_vampires_curse_of_years
1	nag_double_spell_vampires_invocation_of_nehek	wh_main_spell_vampires_invocation_of_nehek
1	nag_double_spell_vampires_invocation_of_nehek_upgraded	wh_main_spell_vampires_invocation_of_nehek_upgraded
1	nag_double_spell_vampires_vanhels_danse_macabre	wh_main_spell_vampires_vanhels_danse_macabre
1	nag_double_spell_vampires_vanhels_danse_macabre_upgraded	wh_main_spell_vampires_vanhels_danse_macabre_upgraded
1	nag_army_abilities_batocalypse	nag_army_abilities_batocalypse_01
2	nag_army_abilities_batocalypse	nag_army_abilities_batocalypse_02
