choice_key	dilemma_key	associated_audio_trigger
#cdir_events_dilemma_choice_details_tables;2;db/cdir_events_dilemma_choice_details_tables/nagash		
FIRST	nag_winds	
SECOND	nag_winds	
THIRD	nag_winds	
FIRST	nag_man	
SECOND	nag_man	
THIRD	nag_man	
FOURTH	nag_man	
FIRST	nag_luthor_madness_1	
SECOND	nag_luthor_madness_1	
THIRD	nag_luthor_madness_1	
FOURTH	nag_luthor_madness_1	
FIRST	nag_luthor_madness_2	
SECOND	nag_luthor_madness_2	
THIRD	nag_luthor_madness_2	
FOURTH	nag_luthor_madness_2	
FIRST	nag_luthor_madness_3	
SECOND	nag_luthor_madness_3	
THIRD	nag_luthor_madness_3	
FOURTH	nag_luthor_madness_3	
