effect_key	set_key	effect_scope	value
#ancillary_set_effect_junctions_tables;0;db/ancillary_set_effect_junctions_tables/rhox_nagash			
wh3_main_effect_winds_of_magic_pool_cap	rhox_nagash_azhag_set	general_to_force_own	20.0000
wh_main_effect_public_order_characters	rhox_nagash_azhag_set	character_to_province_own_factionwide	1.0000
wh3_main_effect_winds_of_magic_pool_cap	rhox_nagash_mannfred_set	general_to_force_own	10.0000
wh_main_effect_public_order_characters	rhox_nagash_mannfred_set	character_to_province_own_factionwide	1.0000
wh3_main_effect_corruption_vampiric_characters	rhox_nagash_vlad_set	character_to_province_any	3.0000
wh_main_effect_public_order_characters	rhox_nagash_vlad_set	character_to_province_own_factionwide	1.0000
wh3_main_effect_allegiance_points_mod_vampire_counts	rhox_nagash_arkhan_set	character_to_faction_unseen	50.0000
wh_main_effect_public_order_characters	rhox_nagash_arkhan_set	character_to_province_own_factionwide	1.0000
wh3_main_effect_winds_of_magic_pool_cap	rhox_nagash_nagash_set	general_to_force_own	50.0000
wh3_main_effect_winds_of_magic_pool_cap	rhox_nagash_dieter_set	general_to_force_own	20.0000
wh_main_effect_character_stat_melee_attack	rhox_nagash_krell_set	character_to_character_own	8.0000
wh_main_effect_character_stat_melee_defence	rhox_nagash_krell_set	character_to_character_own	8.0000
wh3_main_effect_winds_of_magic_pool_cap	rhox_nagash_neferata_set	general_to_force_own	20.0000
