key	human_only	payload_base
#ritual_payloads_tables;0;db/ritual_payloads_tables/rhox_nagash		
nag_man	false	
nag_divinity	false	
nag_death	false	
nag_winds	false	
nag_army	false	
rhox_nagash_kalledria_ritual_hex_3	false	
rhox_nagash_kalledria_ritual_hex_3_empowered	false	
rhox_nagash_kalledria_ritual_hex_5	false	
rhox_nagash_kalledria_ritual_hex_5_empowered	false	
rhox_nagash_kalledria_ritual_hex_6	false	
cr_ostankya_teleport_cr_combi_region_elithis_2_1	false	
cr_ostankya_teleport_cr_combi_region_aranyas_glade	false	
cr_ostankya_teleport_cr_combi_region_sartorn	false	
cr_ostankya_teleport_cr_combi_region_fort_dolganyeir	false	
cr_ostankya_teleport_cr_combi_region_the_grey	false	
