force_type	primary_slot_template	primary_slot_type	secondary_slot_template	secondary_slot_type	slot_cap
#military_force_type_horde_details_tables;1;db/military_force_type_horde_details_tables/rhox_nagash					
nag_bp_horde	nag_bp_horde_primary	horde_primary	nag_bp_horde_secondary	horde_secondary	10
nag_husk_horde	nag_husk_horde_primary	horde_primary	nag_subhorde_secondary	horde_secondary	10
nag_arkhan_horde	nag_arkhan_horde_primary	horde_primary	nag_horde_secondary	horde_secondary	10
nag_vlad_horde	nag_vlad_horde_primary	horde_primary	nag_horde_secondary	horde_secondary	10
nag_mannfred_horde	nag_mannfred_horde_primary	horde_primary	nag_horde_secondary	horde_secondary	10
nag_harkon_horde	nag_harkon_horde_primary	horde_primary	nag_horde_secondary	horde_secondary	10
nag_krell_horde	nag_krell_horde_primary	horde_primary	nag_horde_secondary	horde_secondary	10
nag_neferata_horde	nag_neferata_horde_primary	horde_primary	nag_horde_secondary	horde_secondary	10
nag_dieter_horde	nag_dieter_horde_primary	horde_primary	nag_horde_secondary	horde_secondary	10
nag_azhag_horde	nag_azhag_horde_primary	horde_primary	nag_horde_secondary	horde_secondary	10
nag_dk_horde	nag_dk_horde_primary	horde_primary	nag_horde_secondary	horde_secondary	10
