member	force_type
#campaign_group_member_criteria_military_force_types_tables;0;db/campaign_group_member_criteria_military_force_types_tables/rhox_nagash	
wh3_main_winds_of_magic_nag_bp_horde	nag_bp_horde
wh3_main_winds_of_magic_nag_husk_horde	nag_husk_horde
wh3_main_winds_of_magic_nag_arkhan_horde	nag_arkhan_horde
wh3_main_winds_of_magic_nag_vlad_horde	nag_vlad_horde
wh3_main_winds_of_magic_nag_mannfred_horde	nag_mannfred_horde
wh3_main_winds_of_magic_nag_harkon_horde	nag_harkon_horde
wh3_main_winds_of_magic_nag_krell_horde	nag_krell_horde
wh3_main_winds_of_magic_nag_neferata_horde	nag_neferata_horde
wh3_main_winds_of_magic_nag_dieter_horde	nag_dieter_horde
wh3_main_winds_of_magic_nag_azhag_horde	nag_azhag_horde
wh3_main_winds_of_magic_nag_dk_horde	nag_dk_horde
