key	cast_time	completion_payload	cooldown_time	category	slave_cost	global_cooldown_time	start_payload	icon	failure_cooldown_time	required_resources	expended_resources	target	target_expended_resources	target_required_resources	target_cooldown	target_category_cooldown	effects_while_performing	custom_cost_id	on_trigger_vo_event	flags	self_payload	percentage_cost_increase_per_use	sort_order
#rituals_tables;2;db/rituals_tables/rhox_nagash_kalledria																							
rhox_nagash_kalledria_ritual_hex_1	0	wh3_dlc24_ritual_ksl_hex_1	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_covens_cursemark.png	0		wh3_dlc24_resource_cost_ksl_hex_1	ritual_target_force_enemy_own_territory			0	0				default		0.0000	0
rhox_nagash_kalledria_ritual_hex_1_empowered	0	wh3_dlc24_ritual_ksl_hex_1_empowered	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_covens_cursemark.png	0		wh3_dlc24_resource_cost_ksl_hex_1_empowered	ritual_target_force_enemy_own_territory			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_forest_of_gloom	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_forest_of_gloom	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2	ritual_target_force_own			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_forest_of_gloom_empowered	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_forest_of_gloom	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2_empowered	ritual_target_force_any			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_gaean_vale	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_gaean_vale	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2	ritual_target_force_own			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_gaean_vale_empowered	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_gaean_vale	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2_empowered	ritual_target_force_any			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_gryphon_wood	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_gryphon_wood	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2	ritual_target_force_own			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_gryphon_wood_empowered	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_gryphon_wood	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2_empowered	ritual_target_force_any			0	0				default		0.0000	0
wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_heart_of_the_jungle	0	wh3_dlc24_ostankya_teleport_wh3_main_combi_region_oreons_camp	5	KALLEDRIA_HEX_RITUAL	0	1		UI/skins/default/dlc24_witchs_hexes/icon_hexes_jinxed_land.png	0		wh3_dlc24_resource_cost_ksl_hex_2	ritual_target_force_own			0	0				default		0.0000	0
