campaign_stances_factions_junctions_tables	0
faction	stance
nag_nagash	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
nag_nagash	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
nag_nagash	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
nag_nagash	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
nag_nagash	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
nag_nagash	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
nag_nagash	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
nag_nagash	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
nag_nagash	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
nag_nagash	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
nag_nagash	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
