pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
#resource_cost_pooled_resource_junctions_tables;1;db/resource_cost_pooled_resource_junctions_tables/rhox_nagash				
nag_warpstone_rituals	nag_ritual_mort	-3	absolute	default
nag_warpstone_rituals	nag_ritual_archai	-2	absolute	default
nag_warpstone_rituals	nag_man	-1	absolute	default
nag_warpstone_rituals	nag_divinity	-1	absolute	default
nag_warpstone_rituals	nag_death	-1	absolute	default
nag_warpstone_rituals	nag_winds	-1	absolute	default
nag_warpstone_buildings	nag_building_1	-1	absolute	default
nag_warpstone_buildings	nag_building_2	-2	absolute	default
nag_warpstone_buildings	nag_building_3	-3	absolute	default
nag_warpstone_buildings	nag_building_4	-4	absolute	default
nag_warpstone_buildings	nag_building_5	-5	absolute	default
nag_warpstone_rituals	nag_vassal_ritual	-10	absolute	default
blood_kiss_bloodline_awoken	rhox_nagash_lahmia_ritual_forced_vassalisation	-1	absolute	default
nag_warpstone_rituals	nag_army	-10	absolute	default
wh3_dlc24_ksl_spirit_essence_factor_hexes	rhox_nagash_kalledria_upgrade_cost	-50	absolute	default
