key	officer_1	officer_2	standard_bearer_1	standard_bearer_2	musician_1	musician_2	personality_location	additional_personalities
#land_units_officers_tables;4;db/land_units_officers_tables/rhox_nagash_units								
nag_mortis_engine							front	nag_mortis_engine
nag_carrion_wraiths	nag_carrion_wraiths						front	
nag_neferata_abyssal	nag_neferata_abyssal						front	
nag_mannfred_abyssal	nag_mannfred_abyssal						front	
nag_arkhan_abyssal	nag_arkhan_abyssal						front	
wh_nagash_heroes	nag_hero_melee_summon	nag_hero_mage_summon					front	
nag_hero_warsphinx_rider_0							front	nag_hero_warsphinx_rider_0
cr_nag_cav_carrion_riders_officer	cr_nag_cav_carrion_rider_1						front	
nag_shade_haunts							front	nag_shade_haunts
nag_spirit_hosts							front	nag_spirit_hosts
nag_spectre_swarm							front	nag_spectre_swarm
nag_virion							front	nag_plaguecart_riders
