campaign_group	effect_bundle	effect_type
#campaign_group_pooled_resource_effects_tables;2;db/campaign_group_pooled_resource_effects_tables/rhox_nagash_grand_spells		
nag_grand_spell_01_0	nag_grand_spell_01_0	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_1	nag_grand_spell_01_1	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_2	nag_grand_spell_01_2	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_3	nag_grand_spell_01_3	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_4	nag_grand_spell_01_4	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_5	nag_grand_spell_01_5	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_6	nag_grand_spell_01_6	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_7	nag_grand_spell_01_7	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_8	nag_grand_spell_01_8	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_9	nag_grand_spell_01_9	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_10	nag_grand_spell_01_10	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_11	nag_grand_spell_01_11	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_12	nag_grand_spell_01_12	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_13	nag_grand_spell_01_13	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_14	nag_grand_spell_01_14	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_15	nag_grand_spell_01_15	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_16	nag_grand_spell_01_16	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_17	nag_grand_spell_01_17	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_18	nag_grand_spell_01_18	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_19	nag_grand_spell_01_19	PERCENTAGE_OF_CAPACITY
nag_grand_spell_01_20	nag_grand_spell_01_20	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_0	nag_grand_spell_02_0	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_1	nag_grand_spell_02_1	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_2	nag_grand_spell_02_2	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_3	nag_grand_spell_02_3	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_4	nag_grand_spell_02_4	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_5	nag_grand_spell_02_5	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_6	nag_grand_spell_02_6	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_7	nag_grand_spell_02_7	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_8	nag_grand_spell_02_8	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_9	nag_grand_spell_02_9	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_10	nag_grand_spell_02_10	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_11	nag_grand_spell_02_11	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_12	nag_grand_spell_02_12	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_13	nag_grand_spell_02_13	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_14	nag_grand_spell_02_14	PERCENTAGE_OF_CAPACITY
nag_grand_spell_02_15	nag_grand_spell_02_15	PERCENTAGE_OF_CAPACITY
