ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/rhox_nagash_followers			
nag_anc_follower_hat_makers_maker	wh_main_effect_character_stat_leadership_aura_size	character_to_character_own	50.0000
nag_anc_follower_hat_makers_maker	nag_effect_character_stat_upkeep	character_to_character_own	-25.0000
nag_anc_follower_death_doctor	wh_main_effect_force_all_campaign_replenishment_rate	general_to_force_own	3.0000
nag_anc_follower_keeper_of_tomes	wh3_main_effect_winds_of_magic_pool_cap	character_to_force_own_unseen	10.0000
nag_anc_follower_warpstone_hunter	wh_main_effect_economy_gdp_mod_all	character_to_region_own	4.0000
nag_anc_follower_warlock	wh_main_effect_force_army_campaign_ambush_defence_success_chance	general_to_force_own	10.0000
nag_anc_follower_corpse_caravan	wh_main_effect_force_building_cost_mod	character_to_force_own	-15.0000
nag_anc_follower_corpse_caravan	wh_main_effect_horde_building_gdp_mod_all	character_to_force_own	15.0000
nag_anc_follower_haunted_hostler	wh_main_effect_agent_movement_range_mod	character_to_character_own	5.0000
nag_anc_follower_carrion	wh_main_effect_agent_field_line_of_sight_mod	character_to_character_own	7.0000
nag_anc_follower_death_cultist	wh_main_effect_character_mod_ancillary_drop	character_to_character_own	8.0000
nag_anc_follower_ghoul_scavanger	wh_main_effect_character_mod_ancillary_steal	character_to_character_own	10.0000
nag_anc_follower_ghoul_scavanger	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_force_own	5.0000
nag_anc_follower_siren	wh_main_effect_hordebuilding_growth_characters	general_to_force_own	5.0000
nag_anc_follower_poltergeist	wh_main_effect_public_order_characters	character_to_province_own	2.0000
nag_anc_follower_necromancers_apprentice	wh_main_effect_technology_research_points	character_to_faction_unseen	4.0000
nag_anc_follower_lich	wh2_main_effect_ability_cooldown_spells	character_to_character_own	-10.0000
nag_anc_follower_handmaiden	wh_main_effect_force_army_campaign_ambush_attack_success_chance	general_to_force_own	10.0000
nag_anc_follower_fan	wh_main_effect_character_stat_melee_attack	character_to_character_own	5.0000
nag_anc_follower_fan	wh_main_effect_force_army_campaign_ambush_defence_success_chance	character_to_character_own	-5.0000
nag_anc_follower_fan	wh_main_effect_force_army_campaign_ambush_attack_success_chance	character_to_character_own	-5.0000
nag_anc_follower_embalmer	wh_main_effect_character_stat_physical_resistance	character_to_character_own	10.0000
nag_anc_follower_embalmer	wh_main_effect_character_stat_fire_resistance	character_to_character_own	-15.0000
nag_anc_follower_blood_bag	wh2_main_effect_replenishment_lords	general_to_force_own	30.0000
nag_anc_follower_powder_monkey	wh2_dlc11_effect_force_stat_ap_damage_cst_ranged	character_to_force_own	15.0000
nag_anc_follower_captain_deceased	wh_main_effect_agent_field_line_of_sight_mod	character_to_character_own	50.0000
nag_anc_follower_captain_deceased	wh_main_effect_agent_movement_range_mod	character_to_character_own	5.0000
nag_anc_follower_cursed_necrotect	wh_main_effect_building_construction_cost_mod	character_to_region_own_provincewide	-15.0000
nag_anc_follower_cursed_necrotect	wh_main_effect_force_building_cost_mod	character_to_force_own	-15.0000
nag_anc_follower_ushabti_bodyguard	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-8.0000
nag_anc_follower_the_ravenous_dead	wh2_dlc11_effect_ability_enable_the_ravenous_dead_vmp_zombies	general_to_force_own	1.0000
nag_anc_follower_undead_bard	wh2_dlc10_effect_attribute_enable_perfect_vigour	character_to_character_own	1.0000
nag_anc_follower_black_cat	wh_main_effect_public_order_characters	character_to_province_own	5.0000
nag_anc_follower_black_cat	wh_main_effect_public_order_characters_negative	character_to_province_enemy	-5.0000
nag_anc_follower_books_of_nagash_book_one	nag_effect_enable_bound_spell_light_phas_protection	character_to_character_own	1.0000
nag_anc_follower_books_of_nagash_book_one	nag_effect_character_physical_resist_lord_hero_all	character_to_force_own_factionwide	5.0000
nag_anc_follower_books_of_nagash_book_one	nag_effect_unit_enable_flaming_attacks_constructs	character_to_force_own	1.0000
nag_anc_follower_books_of_nagash_book_two	nag_effect_enable_bound_spell_light_banishment	character_to_character_own	1.0000
nag_anc_follower_books_of_nagash_book_two	wh_main_effect_agent_field_line_of_sight_mod	character_to_character_own	20.0000
nag_anc_follower_books_of_nagash_book_two	wh_main_effect_character_stat_leadership_aura_size	character_to_character_own	50.0000
nag_anc_follower_books_of_nagash_book_three	nag_effect_enable_bound_spell_nehek_skullstorm	character_to_character_own	1.0000
nag_anc_follower_books_of_nagash_book_three	nag_effect_stalk_scorpion_skill	character_to_force_own	1.0000
nag_anc_follower_books_of_nagash_book_three	nag_effect_speed_scorpion_crawler_skill	character_to_force_own	30.0000
nag_anc_follower_books_of_nagash_book_four	nag_effect_enable_bound_spell_vamp_curse_of_years	character_to_character_own	1.0000
nag_anc_follower_books_of_nagash_book_four	nag_effect_enable_ability_chilling_aura_zombies	character_to_force_own	1.0000
nag_anc_follower_books_of_nagash_book_four	nag_effect_unit_missile_resistance_zombie_units	character_to_force_own_factionwide	5.0000
nag_anc_follower_books_of_nagash_book_five	nag_effect_ability_enable_eternal_danse_macabre	character_to_character_own	1.0000
nag_anc_follower_books_of_nagash_book_five	nag_effect_unit_speed_all_skeleton	character_to_force_own	20.0000
nag_anc_follower_books_of_nagash_book_five	nag_effect_unit_vigour_loss_reduction_all_skeleton	character_to_force_own_factionwide	-15.0000
nag_anc_follower_books_of_nagash_book_six	nag_effect_enable_bound_spell_death_soulblight	character_to_character_own	1.0000
nag_anc_follower_books_of_nagash_book_six	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod_enemy	character_to_force_enemy_provincewide	-20.0000
nag_anc_follower_books_of_nagash_book_six	wh2_dlc14_effect_character_stat_enable_spirit_leech_attacks	character_to_character_own	1.0000
nag_anc_follower_books_of_nagash_book_seven	nag_effect_enable_bound_spell_nehek_cursed_blades	character_to_character_own	1.0000
nag_anc_follower_books_of_nagash_book_seven	nag_effect_army_spirit_melee_attack_skill	character_to_force_own	6.0000
nag_anc_follower_books_of_nagash_book_seven	nag_effect_unit_frostbite_attacks_spirits	character_to_force_own	1.0000
nag_anc_follower_books_of_nagash_book_eight	nag_effect_ability_enable_malediction_of_nagash	character_to_character_own	1.0000
