ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/nagash			
nag_anc_armour_armour_of_templehof	wh_main_effect_ability_enable_regenerating_flesh	character_to_character_own	1.0
nag_anc_armour_armour_of_templehof	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10.0
nag_anc_armour_armour_of_templehof	wh_main_effect_character_stat_mod_armour	character_to_character_own	10.0
nag_anc_armour_armour_of_templehof	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	6.0
nag_anc_armour_armour_of_templehof	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	10.0
nag_anc_armour_armour_of_templehof	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	10.0
nag_anc_armour_armour_of_templehof	wh_main_effect_character_wound_recovery_time_mod	character_to_character_own	-1.0
nag_anc_weapon_sword_of_unholy_power	wh_main_effect_ability_enable_sword_of_unholy_power	character_to_character_own	1.0
nag_anc_weapon_sword_of_unholy_power	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0
nag_anc_weapon_sword_of_unholy_power	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	6.0
nag_anc_weapon_sword_of_unholy_power	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	10.0
nag_anc_weapon_sword_of_unholy_power	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	10.0
nag_anc_weapon_sword_of_unholy_power	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	-10.0
nag_anc_weapon_sword_of_unholy_power	wh_main_effect_religion_conversion_undeath	character_to_character_own_provincetext	5.0
nag_anc_weapon_the_tomb_blade_of_arkhan	wh2_dlc09_effect_ability_enable_the_tomb_blade_of_arkhan	character_to_character_own	1.0
nag_anc_weapon_the_tomb_blade_of_arkhan	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0
nag_anc_weapon_the_tomb_blade_of_arkhan	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	14.0
nag_anc_weapon_the_tomb_blade_of_arkhan	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	15.0
nag_anc_arcane_item_staff_of_nagash	wh2_dlc09_effect_ability_enable_staff_of_nagash	character_to_character_own	1.0
nag_anc_arcane_item_staff_of_nagash	wh_main_effect_character_mod_ancillary_drop	character_to_character_own	20.0
nag_anc_arcane_item_staff_of_nagash	wh_main_effect_character_stat_mod_miscast_chance	character_to_character_own	-15.0
nag_anc_arcane_item_staff_of_nagash	wh_main_effect_technology_research_points	character_to_faction	10.0
nag_anc_enchanted_item_slann_gold	wh2_dlc11_effect_ability_enable_slann_gold	character_to_character_own	1.0
nag_anc_enchanted_item_slann_gold	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	20.0
nag_anc_enchanted_item_slann_gold	wh_main_effect_military_force_winds_of_magic_starting_mod_enemy	general_to_force_enemy_regionwide	-10.0
nag_anc_talisman_the_carstein_ring	wh_dlc04_effect_ability_enable_the_carstein_ring	character_to_character_own	1.0
nag_anc_talisman_the_carstein_ring	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10.0
nag_anc_talisman_the_carstein_ring	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	5.0
nag_anc_talisman_the_carstein_ring	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	20.0
nag_anc_talisman_the_carstein_ring	wh_main_effect_character_wound_recovery_time_mod	character_to_character_own	-3.0
nag_anc_talisman_the_carstein_ring	wh_main_effect_force_all_campaign_replenishment_rate	general_to_force_own	5.0
nag_anc_weapon_blood_drinker	wh_dlc04_effect_ability_enable_blood_drinker	character_to_character_own	1.0
nag_anc_weapon_blood_drinker	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0
nag_anc_weapon_blood_drinker	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	5.0
nag_anc_weapon_blood_drinker	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	10.0
nag_anc_weapon_blood_drinker	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	10.0
nag_anc_weapon_blood_drinker	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	-10.0
nag_anc_weapon_blood_drinker	wh_main_effect_religion_conversion_undeath	character_to_character_own_provincetext	5.0
nag_anc_enchanted_item_blood_chalice_of_bathori	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10.0
nag_anc_enchanted_item_blood_chalice_of_bathori	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	5.0
nag_anc_enchanted_item_blood_chalice_of_bathori	wh_main_effect_character_wound_recovery_time_mod	faction_to_character_own	-1.0
nag_anc_enchanted_item_blood_chalice_of_bathori	wh_main_effect_force_all_campaign_replenishment_rate	general_to_force_own	5.0
nag_anc_enchanted_item_blood_chalice_of_bathori	wh_pro02_effect_ability_enable_blood_chalice_of_bathori	character_to_character_own	1.0
nag_anc_weapon_chaos_tomb_blade	wh2_dlc11_effect_attrition_immunity_chaos	general_to_force_own	1.0
nag_anc_weapon_chaos_tomb_blade	wh_main_effect_ability_enable_chaos_tomb_blade	character_to_character_own	1.0
nag_anc_weapon_chaos_tomb_blade	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0
nag_anc_weapon_chaos_tomb_blade	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	6.0
nag_anc_weapon_chaos_tomb_blade	wh_main_effect_force_all_campaign_replenishment_rate	general_to_force_own	5.0
nag_anc_armour_armour_of_the_barrows	wh_main_effect_character_stat_mod_armour	character_to_character_own	20.0
nag_anc_armour_armour_of_the_barrows	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	10.0
nag_anc_armour_armour_of_the_barrows	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	40.0
nag_anc_armour_armour_of_the_barrows	nag_effect_self_enable_ability_armour_of_barrow	character_to_character_own	1.0
nag_anc_weapon_black_axe_of_krell	wh2_main_effect_character_stat_enable_discourage_attacks	character_to_character_own	1.0
nag_anc_weapon_black_axe_of_krell	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	15.0
nag_anc_weapon_black_axe_of_krell	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	20.0
nag_anc_weapon_dagger_of_jet	wh_main_effect_character_stat_mod_bonus_v_small	character_to_character_own	15.0
nag_anc_weapon_dagger_of_jet	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10.0
nag_anc_weapon_dagger_of_jet	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	6.0
nag_anc_weapon_dagger_of_jet	nag_effect_item_neferata_ability_dagger_of_jet	character_to_character_own	1.0
nag_anc_arcane_item_staff_of_pain	nag_effect_item_neferata_ability_enable_staff_of_pain	character_to_character_own	1.0
nag_anc_arcane_item_staff_of_pain	wh2_dlc15_effect_ability_enable_bound_gaze_of_nagash	character_to_character_own	1.0
nag_anc_arcane_item_staff_of_pain	wh_main_effect_technology_research_points	character_to_faction	10.0
nag_anc_arcane_item_staff_of_pain	wh_main_effect_religion_conversion_undeath	character_to_character_own_provincetext	5.0
nag_anc_arcane_item_staff_of_pain	wh_main_effect_character_stat_mod_miscast_chance	character_to_character_own	-15.0
nag_anc_armour_morikhane_the_black_armour	wh_main_effect_character_stat_mod_armour	character_to_character_own	15.0
nag_anc_armour_morikhane_the_black_armour	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	8.0
nag_anc_armour_morikhane_the_black_armour	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	10.0
nag_anc_armour_morikhane_the_black_armour	nag_effect_item_nagash_ability_enable_morikhane	character_to_character_own	1.0
nag_anc_weapon_the_mortis_blade	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0
nag_anc_weapon_the_mortis_blade	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	8.0
nag_anc_weapon_the_mortis_blade	nag_effect_item_nagash_ability_enable_mortis_blade	character_to_character_own	1.0
nag_anc_arcane_item_alakanash_staff_of_power	nag_effect_item_nagash_ability_enable_staff_of_power	character_to_character_own	1.0
nag_anc_arcane_item_alakanash_staff_of_power	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_character_own	5.0
nag_anc_arcane_item_alakanash_staff_of_power	wh_main_effect_technology_research_points	character_to_faction	15.0
nag_anc_arcane_item_alakanash_staff_of_power	wh_main_effect_character_stat_mod_miscast_chance	character_to_character_own	-15.0
nag_anc_enchanted_item_crown_of_nagash	wh2_dlc14_effect_diplomacy_vmp_cst_tmb	character_to_faction	100.0
nag_anc_enchanted_item_crown_of_nagash	wh2_dlc15_effect_ability_enable_bound_gaze_of_nagash	character_to_character_own	1.0
nag_anc_enchanted_item_crown_of_nagash	wh_main_effect_character_stat_mod_miscast_chance	character_to_character_own	-25.0
nag_anc_enchanted_item_crown_of_nagash	wh_main_effect_military_force_winds_of_magic_starting_mod	character_to_force_own_unseen	10.0
nag_anc_talisman_books_of_nagash_book_one	nag_effect_enable_bound_spell_light_phas_protection	character_to_character_own	1.0
nag_anc_talisman_books_of_nagash_book_one	wh2_main_effect_agent_cap_increase_all_heroes	character_to_faction	1.0
nag_anc_talisman_books_of_nagash_book_one	wh_main_effect_agent_action_cost_mod	character_to_faction	-25.0
nag_anc_talisman_books_of_nagash_book_one	wh_main_effect_agent_action_success_chance	character_to_faction	10.0
nag_anc_talisman_books_of_nagash_book_two	nag_effect_enable_bound_spell_light_banishment	character_to_character_own	1.0
