ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/rhox_nagash			
nag_anc_armour_armour_of_the_barrows	wh_main_effect_character_stat_armour	character_to_character_own	20.0000
nag_anc_armour_armour_of_the_barrows	wh_main_effect_character_stat_melee_defence	character_to_character_own	10.0000
nag_anc_armour_armour_of_the_barrows	wh_main_effect_character_stat_magic_resistance	character_to_character_own	40.0000
nag_anc_armour_armour_of_the_barrows	nag_effect_self_enable_ability_armour_of_barrow	character_to_character_own	1.0000
nag_anc_weapon_black_axe_of_krell	wh2_main_effect_character_stat_enable_discourage_attacks	character_to_character_own	1.0000
nag_anc_weapon_black_axe_of_krell	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	15.0000
nag_anc_weapon_black_axe_of_krell	wh_main_effect_character_stat_weapon_strength	character_to_character_own	20.0000
nag_anc_weapon_dagger_of_jet	wh_main_effect_character_stat_bonus_vs_infantry	character_to_character_own	15.0000
nag_anc_weapon_dagger_of_jet	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10.0000
nag_anc_weapon_dagger_of_jet	wh_main_effect_character_stat_melee_attack	character_to_character_own	6.0000
nag_anc_weapon_dagger_of_jet	nag_effect_item_neferata_ability_dagger_of_jet	character_to_character_own	1.0000
nag_anc_arcane_item_staff_of_pain	nag_effect_item_neferata_ability_enable_staff_of_pain	character_to_character_own	1.0000
nag_anc_arcane_item_staff_of_pain	wh2_dlc15_effect_ability_enable_bound_gaze_of_nagash	character_to_character_own	1.0000
nag_anc_arcane_item_staff_of_pain	wh_main_effect_technology_research_points	character_to_faction	10.0000
nag_anc_arcane_item_staff_of_pain	wh3_main_effect_corruption_vampiric_characters	character_to_character_own_provincetext	5.0000
nag_anc_arcane_item_staff_of_pain	wh_main_effect_character_stat_miscast	character_to_character_own	-15.0000
nag_anc_armour_morikhane_the_black_armour	wh_main_effect_character_stat_armour	character_to_character_own	15.0000
nag_anc_armour_morikhane_the_black_armour	wh_main_effect_character_stat_melee_defence	character_to_character_own	8.0000
nag_anc_armour_morikhane_the_black_armour	wh_main_effect_character_stat_ward_save	character_to_character_own	10.0000
nag_anc_armour_morikhane_the_black_armour	nag_effect_item_nagash_ability_enable_morikhane	character_to_character_own	1.0000
nag_anc_weapon_the_mortis_blade	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
nag_anc_weapon_the_mortis_blade	wh_main_effect_character_stat_melee_attack	character_to_character_own	8.0000
nag_anc_weapon_the_mortis_blade	nag_effect_item_nagash_ability_enable_mortis_blade	character_to_character_own	1.0000
nag_anc_arcane_item_alakanash_staff_of_power	nag_effect_item_nagash_ability_enable_staff_of_power	character_to_character_own	1.0000
nag_anc_arcane_item_alakanash_staff_of_power	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod_enemy	general_to_force_enemy_regionwide	-5.0000
nag_anc_arcane_item_alakanash_staff_of_power	wh_main_effect_technology_research_points	character_to_faction	15.0000
nag_anc_arcane_item_alakanash_staff_of_power	wh_main_effect_character_stat_miscast	character_to_character_own	-15.0000
nag_anc_enchanted_item_crown_of_nagash	wh2_dlc14_effect_diplomacy_vmp_cst_tmb	character_to_faction	100.0000
nag_anc_enchanted_item_crown_of_nagash	wh2_dlc15_effect_ability_enable_bound_gaze_of_nagash	character_to_character_own	1.0000
nag_anc_enchanted_item_crown_of_nagash	wh_main_effect_character_stat_miscast	character_to_character_own	-25.0000
nag_anc_enchanted_item_crown_of_nagash	wh3_main_effect_winds_of_magic_pool_cap	character_to_force_own	10.0000
