ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/zzzzz_nagash_thanks_other_mods			
nag_Soulreaper	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0000
nag_Soulreaper	wh_main_effect_character_stat_ap_damage	character_to_character_own	10.0000
nag_elo_hand_punished_one	elo_hand_punished_one	character_to_character_own	1.0000
nag_elo_hand_punished_one	wh_main_effect_character_stat_melee_attack	character_to_character_own	10.0000
nag_elo_hand_punished_one	wh_main_effect_character_stat_ap_damage	character_to_character_own	50.0000
nag_elo_hungering_blade	elo_hungering_blade	character_to_character_own	1.0000
nag_elo_hungering_blade	wh_main_effect_character_stat_melee_attack	character_to_character_own	10.0000
nag_elo_hungering_blade	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	15.0000
nag_elo_hungering_blade	wh_main_effect_character_stat_enable_poison_attacks	character_to_character_own	1.0000
