Loc PackedFile	1
key	text	tooltip
building_chains_chain_tooltip_nag_bpyramid_main	Core Chambers of the Black Pyramid	true
building_chains_chain_tooltip_nag_bpyramid_ew2_mortuary	Chambers of the Spirits	true
building_chains_chain_tooltip_nag_bpyramid_ew1_barracks	Chambers of the Beasts	true
building_chains_chain_tooltip_nag_bpyramid_ww1_stables	Chambers of the Vanguard	true
building_chains_chain_tooltip_nag_bpyramid_ww2_warmachines	Chambers of the Machines	true
building_chains_chain_tooltip_nag_bpyramid_military4_monsters	[PH]	true
building_chains_chain_tooltip_nag_bpyramid_support1_smith	[PH]	true
building_chains_chain_tooltip_nag_bpyramid_main_obelisk	Black Obelisk	true
building_chains_chain_tooltip_nag_bpyramid_support3_wizards	[PH]	true
building_chains_chain_tooltip_nag_bpyramid_ew4_other	Pyramid Edges	true
building_chains_chain_tooltip_nag_bpyramid_ww4_extra	Pyramid Edges	true
building_chains_chain_tooltip_nag_bpyramid_ew3_growth	Eastern Passages	true
building_chains_chain_tooltip_nag_bpyramid_ww3_industry	Western Passages	true
building_chains_chain_tooltip_nag_bpyramid_infrastructure3_energy	[PH]	true
building_chains_chain_tooltip_nag_bpyramid_infrastructure4_other	[PH]	true
building_chains_chain_tooltip_nag_outpost_primary_main	Defiled Grounds	true
building_chains_chain_tooltip_nag_outpost_primary_main_coast	Defiled Shores	true
building_chains_chain_tooltip_nag_outpostnorsca_primary_main	Defiled Frozen Grounds	true
building_chains_chain_tooltip_nag_outpostnorsca_primary_main_coast	Defiled Frozen Shores	true
building_chains_chain_tooltip_nag_outpost_main_port	Ferryman's Crossing	true
building_chains_chain_tooltip_nag_outpost_secondary_main	Tainted Grounds	true
building_chains_chain_tooltip_nag_outpost_secondary_main_coast	Tainted Shores	true
building_chains_chain_tooltip_nag_outpostnorsca_secondary_main	Tainted Frozen Grounds	true
building_chains_chain_tooltip_nag_outpostnorsca_secondary_main_coast	Tainted Frozen Shores	true
building_chains_chain_tooltip_nag_outpost_primary_research	Tower of Dhar	true
building_chains_chain_tooltip_nag_outpost_primary_arcane	Conduit of Souls	true
building_chains_chain_tooltip_nag_outpost_primary_support	Mausoleum of the Damned	true
building_chains_chain_tooltip_nag_outpost_primary_nehek	Nehekharan Tombs	true
building_chains_chain_tooltip_nag_outpost_primary_nagashizzar	Ancient Catacombs	true
building_chains_chain_tooltip_nag_outpost_primary_coast	Watery Graves	true
building_chains_chain_tooltip_nag_outpost_primary_count	Stone Crypts	true
building_chains_chain_tooltip_nag_outpost_primary_warpstone	Warpstone Lode	true
building_chains_chain_tooltip_nag_outpost_secondary_fields	Field of Bones	true
building_chains_chain_tooltip_nag_outpost_secondary_corruption	Wellspring of Corruption	true
building_chains_chain_tooltip_nag_outpost_secondary_syphon	Fetid Mire	true
building_chains_chain_tooltip_nag_outpost_secondary_energy	Spirit Siphon	true
