id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/rhox_nagash_tier			
626023432	800	nag_vanilla_tmb_inf_tomb_guard_0	nag_tier_1
626023433	800	nag_vanilla_tmb_inf_tomb_guard_0	nag_tier_1
626023434	200	nag_vanilla_tmb_inf_skeleton_archers_0	nag_tier_1
626023435	200	nag_vanilla_tmb_inf_skeleton_archers_0	nag_tier_1
626023436	220	nag_vanilla_tmb_inf_skeleton_spearmen_0	nag_tier_1
626023437	220	nag_vanilla_tmb_inf_skeleton_spearmen_0	nag_tier_1
626023438	200	nag_vanilla_tmb_inf_skeleton_warriors_0	nag_tier_1
626023439	200	nag_vanilla_tmb_inf_skeleton_warriors_0	nag_tier_1
626023440	270	nag_vanilla_vmp_inf_crypt_ghouls	nag_tier_1
626023441	270	nag_vanilla_vmp_inf_crypt_ghouls	nag_tier_1
626023442	270	nag_vanilla_vmp_inf_crypt_ghouls	nag_tier_1
626023443	270	nag_vanilla_vmp_inf_crypt_ghouls	nag_tier_1
626023444	800	nag_vanilla_tmb_inf_tomb_guard_0	nag_tier_2
626023445	800	nag_vanilla_tmb_inf_tomb_guard_0	nag_tier_2
626023446	200	nag_vanilla_tmb_inf_skeleton_archers_0	nag_tier_2
626023447	200	nag_vanilla_tmb_inf_skeleton_archers_0	nag_tier_2
626023448	220	nag_vanilla_tmb_inf_skeleton_spearmen_0	nag_tier_2
626023449	220	nag_vanilla_tmb_inf_skeleton_spearmen_0	nag_tier_2
626023450	200	nag_vanilla_tmb_inf_skeleton_warriors_0	nag_tier_2
626023451	200	nag_vanilla_tmb_inf_skeleton_warriors_0	nag_tier_2
626023452	270	nag_vanilla_vmp_inf_crypt_ghouls	nag_tier_2
626023453	270	nag_vanilla_vmp_inf_crypt_ghouls	nag_tier_2
626023454	270	nag_vanilla_vmp_inf_crypt_ghouls	nag_tier_2
626023455	270	nag_vanilla_vmp_inf_crypt_ghouls	nag_tier_2
626023456	660	nag_bone_thrower	nag_tier_2
626023457	660	nag_bone_thrower	nag_tier_2
626023458	800	nag_vanilla_tmb_inf_tomb_guard_0	nag_tier_3
626023459	800	nag_vanilla_tmb_inf_tomb_guard_0	nag_tier_3
626023460	200	nag_vanilla_tmb_inf_skeleton_archers_0	nag_tier_3
626023461	200	nag_vanilla_tmb_inf_skeleton_archers_0	nag_tier_3
626023462	220	nag_vanilla_tmb_inf_skeleton_spearmen_0	nag_tier_3
626023463	220	nag_vanilla_tmb_inf_skeleton_spearmen_0	nag_tier_3
626023464	200	nag_vanilla_tmb_inf_skeleton_warriors_0	nag_tier_3
626023465	200	nag_vanilla_tmb_inf_skeleton_warriors_0	nag_tier_3
626023466	200	nag_vanilla_tmb_inf_skeleton_warriors_0	nag_tier_3
626023467	200	nag_vanilla_tmb_inf_skeleton_warriors_0	nag_tier_3
626023468	270	nag_vanilla_vmp_inf_crypt_ghouls	nag_tier_3
626023469	270	nag_vanilla_vmp_inf_crypt_ghouls	nag_tier_3
626023470	270	nag_vanilla_vmp_inf_crypt_ghouls	nag_tier_3
