id	treasury_cost	expenditure_type	income_type	expenditure_type_when_regular	income_type_when_regular
#resource_costs_tables;0;db/resource_costs_tables/rhox_nagash					
nag_ritual_mort	0	TECHNOLOGIES	TECHNOLOGIES	ARMY_UPKEEP	BACKGROUND_INCOME
nag_ritual_archai	0	TECHNOLOGIES	TECHNOLOGIES	ARMY_UPKEEP	BACKGROUND_INCOME
nag_man	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
nag_divinity	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
nag_death	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
nag_winds	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
nag_building_1	0	CONSTRUCTION_BUILDING	DISMANTLED_BUILDINGS	REGION_BUILDING_UPKEEP	BACKGROUND_INCOME
nag_building_2	0	CONSTRUCTION_BUILDING	DISMANTLED_BUILDINGS	REGION_BUILDING_UPKEEP	BACKGROUND_INCOME
nag_building_3	0	CONSTRUCTION_BUILDING	DISMANTLED_BUILDINGS	REGION_BUILDING_UPKEEP	BACKGROUND_INCOME
nag_building_4	0	CONSTRUCTION_BUILDING	DISMANTLED_BUILDINGS	REGION_BUILDING_UPKEEP	BACKGROUND_INCOME
nag_building_5	0	CONSTRUCTION_BUILDING	DISMANTLED_BUILDINGS	REGION_BUILDING_UPKEEP	BACKGROUND_INCOME
nag_vassal_ritual	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_nagash_lahmia_ritual_forced_vassalisation	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
nag_army	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_nagash_kalledria_upgrade_cost	0	ACTIONS	BATTLE_KILLS	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_nagash_hidden_zombie_hp	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
