character_skill	character_skill_node	level
#character_skill_nodes_skill_locks_tables;0;db/character_skill_nodes_skill_locks_tables/rhox_nagash		
wh2_dlc09_skill_tmb_tomb_prince_royalty_at_arm	nag_skill_tmb_tomb_prince_unique_0	1
wh2_dlc09_skill_tmb_tomb_prince_throne_successor	nag_skill_tmb_tomb_prince_unique_0	1
wh2_dlc09_skill_tmb_tomb_prince_cultist	nag_skill_tmb_tomb_prince_unique_1	1
wh2_dlc09_skill_tmb_tomb_prince_royalty_at_arm	nag_skill_tmb_tomb_prince_unique_1	1
wh2_dlc09_skill_tmb_tomb_prince_cultist	nag_skill_tmb_tomb_prince_unique_2	1
wh2_dlc09_skill_tmb_tomb_prince_throne_successor	nag_skill_tmb_tomb_prince_unique_2	1
wh2_dlc09_skill_tmb_liche_priest_keeper_of_lore	nag_skill_tmb_liche_priest_death_unique_0	1
wh2_dlc09_skill_tmb_liche_priest_cultist_of_mortuary	nag_skill_tmb_liche_priest_death_unique_0	1
wh2_dlc09_skill_tmb_liche_priest_incantation_of_preservation	nag_skill_tmb_liche_priest_death_unique_1	1
wh2_dlc09_skill_tmb_liche_priest_cultist_of_mortuary	nag_skill_tmb_liche_priest_death_unique_1	1
wh2_dlc09_skill_tmb_liche_priest_incantation_of_preservation	nag_skill_tmb_liche_priest_death_unique_2	1
wh2_dlc09_skill_tmb_liche_priest_keeper_of_lore	nag_skill_tmb_liche_priest_death_unique_2	1
wh2_dlc09_skill_tmb_liche_priest_keeper_of_lore	nag_skill_tmb_liche_priest_light_unique_0	1
wh2_dlc09_skill_tmb_liche_priest_cultist_of_mortuary	nag_skill_tmb_liche_priest_light_unique_0	1
wh2_dlc09_skill_tmb_liche_priest_incantation_of_preservation	nag_skill_tmb_liche_priest_light_unique_1	1
wh2_dlc09_skill_tmb_liche_priest_cultist_of_mortuary	nag_skill_tmb_liche_priest_light_unique_1	1
wh2_dlc09_skill_tmb_liche_priest_incantation_of_preservation	nag_skill_tmb_liche_priest_light_unique_2	1
wh2_dlc09_skill_tmb_liche_priest_keeper_of_lore	nag_skill_tmb_liche_priest_light_unique_2	1
wh2_dlc09_skill_tmb_liche_priest_keeper_of_lore	nag_skill_tmb_liche_priest_nehekhara_unique_0	1
wh2_dlc09_skill_tmb_liche_priest_cultist_of_mortuary	nag_skill_tmb_liche_priest_nehekhara_unique_0	1
wh2_dlc09_skill_tmb_liche_priest_incantation_of_preservation	nag_skill_tmb_liche_priest_nehekhara_unique_1	1
wh2_dlc09_skill_tmb_liche_priest_cultist_of_mortuary	nag_skill_tmb_liche_priest_nehekhara_unique_1	1
wh2_dlc09_skill_tmb_liche_priest_incantation_of_preservation	nag_skill_tmb_liche_priest_nehekhara_unique_2	1
wh2_dlc09_skill_tmb_liche_priest_keeper_of_lore	nag_skill_tmb_liche_priest_nehekhara_unique_2	1
wh2_dlc09_skill_tmb_liche_priest_keeper_of_lore	nag_skill_tmb_liche_priest_shadow_unique_0	1
wh2_dlc09_skill_tmb_liche_priest_cultist_of_mortuary	nag_skill_tmb_liche_priest_shadow_unique_0	1
wh2_dlc09_skill_tmb_liche_priest_incantation_of_preservation	nag_skill_tmb_liche_priest_shadow_unique_1	1
wh2_dlc09_skill_tmb_liche_priest_cultist_of_mortuary	nag_skill_tmb_liche_priest_shadow_unique_1	1
wh2_dlc09_skill_tmb_liche_priest_incantation_of_preservation	nag_skill_tmb_liche_priest_shadow_unique_2	1
wh2_dlc09_skill_tmb_liche_priest_keeper_of_lore	nag_skill_tmb_liche_priest_shadow_unique_2	1
wh2_dlc09_skill_tmb_liche_priest_keeper_of_lore	nag_skill_tmb_liche_priest_undeath_unique_0	1
wh2_dlc09_skill_tmb_liche_priest_cultist_of_mortuary	nag_skill_tmb_liche_priest_undeath_unique_0	1
wh2_dlc09_skill_tmb_liche_priest_incantation_of_preservation	nag_skill_tmb_liche_priest_undeath_unique_1	1
wh2_dlc09_skill_tmb_liche_priest_cultist_of_mortuary	nag_skill_tmb_liche_priest_undeath_unique_1	1
wh2_dlc09_skill_tmb_liche_priest_incantation_of_preservation	nag_skill_tmb_liche_priest_undeath_unique_2	1
wh2_dlc09_skill_tmb_liche_priest_keeper_of_lore	nag_skill_tmb_liche_priest_undeath_unique_2	1
nag_skill_unique_nagash_hate_daemons	nag_skill_husk_nagash_unique_3	1
nag_skill_unique_nagash_hate_traitors	nag_skill_husk_nagash_unique_3	1
nag_skill_unique_nagash_hate_equal	nag_skill_husk_nagash_unique_3	1
nag_skill_unique_nagash_hate_skaven	nag_skill_husk_nagash_unique_4	1
nag_skill_unique_nagash_hate_traitors	nag_skill_husk_nagash_unique_4	1
nag_skill_unique_nagash_hate_equal	nag_skill_husk_nagash_unique_4	1
nag_skill_unique_nagash_hate_skaven	nag_skill_husk_nagash_unique_5	1
nag_skill_unique_nagash_hate_daemons	nag_skill_husk_nagash_unique_5	1
nag_skill_unique_nagash_hate_equal	nag_skill_husk_nagash_unique_5	1
nag_skill_unique_nagash_hate_skaven	nag_skill_husk_nagash_unique_6	1
nag_skill_unique_nagash_hate_daemons	nag_skill_husk_nagash_unique_6	1
nag_skill_unique_nagash_hate_traitors	nag_skill_husk_nagash_unique_6	1
