key	agent	culture	associated_unit	season	level	agent_recruited_movie	gender	icon	small_icon	recruitable_in_ui
#agent_culture_details_tables;9;db/agent_culture_details_tables/nagash_culture										
909090	champion	nag_nagash	nag_cha_tomb_prince_0		0		m		ui/campaign ui/agents/wh2_dlc09_tmb_champion.png	true
909091	colonel	nag_nagash			0				ui/campaign ui/agents/paladin.png	true
909092	dignitary	nag_nagash	wh_main_vmp_cha_vampire_0		0		f	UI/units/icons/wh_main_vmp_vampire.png	ui/campaign ui/agents/wh_main_lore_death.png	true
909093	engineer	nag_nagash	wh2_dlc11_cst_cha_gunnery_wight_0		0		m		ui/campaign ui/agents/wh2_dlc11_cst_engineer.png	true
909094	general	nag_nagash	nag_cha_tomb_king_0		0		m		ui/campaign ui/agents/paladin.png	true
909095	minister	nag_nagash			0				ui/campaign ui/agents/paladin.png	true
909096	runesmith	nag_nagash			0				ui/campaign ui/agents/paladin.png	true
909097	spy	nag_nagash	nag_morghasts_archai		0		m		ui/campaign ui/agents/wh2_main_lzd_champion.png	true
909098	wizard	nag_nagash	nag_cha_liche_priest_death_0		0		m		ui/campaign ui/agents/wh_main_wizard.png	true
