bonus_value_id	effect	subculture
#effect_bonus_value_subculture_junctions_tables;0;db/effect_bonus_value_subculture_junctions_tables/rhox_nagash		
diplomatic_mod	nag_effect_diplomatic_relations_living	wh2_main_sc_def_dark_elves
diplomatic_mod	nag_effect_diplomatic_relations_living	wh2_main_sc_hef_high_elves
diplomatic_mod	nag_effect_diplomatic_relations_living	wh2_main_sc_lzd_lizardmen
diplomatic_mod	nag_effect_diplomatic_relations_living	wh2_main_sc_skv_skaven
diplomatic_mod	nag_effect_diplomatic_relations_living	wh_dlc03_sc_bst_beastmen
diplomatic_mod	nag_effect_diplomatic_relations_living	wh_dlc05_sc_wef_wood_elves
diplomatic_mod	nag_effect_diplomatic_relations_living	wh_main_sc_brt_bretonnia
diplomatic_mod	nag_effect_diplomatic_relations_living	wh_main_sc_chs_chaos
diplomatic_mod	nag_effect_diplomatic_relations_living	wh_main_sc_dwf_dwarfs
diplomatic_mod	nag_effect_diplomatic_relations_living	wh_main_sc_emp_empire
diplomatic_mod	nag_effect_diplomatic_relations_living	wh_main_sc_grn_greenskins
diplomatic_mod	nag_effect_diplomatic_relations_living	wh_main_sc_grn_savage_orcs
diplomatic_mod	nag_effect_diplomatic_relations_living	wh3_main_sc_ksl_kislev
diplomatic_mod	nag_effect_diplomatic_relations_living	wh_dlc08_sc_nor_norsca
diplomatic_mod	nag_effect_diplomatic_relations_living	wh_main_sc_teb_teb
diplomatic_mod_tech	nag_effect_diplomatic_relations_humans	wh_main_sc_emp_empire
diplomatic_mod	nag_effect_diplomatic_relations_living	mixer_gnob_gnoblar_horde
diplomatic_mod	nag_effect_diplomatic_relations_living	ovn_sc_alb_albion
diplomatic_mod	nag_effect_diplomatic_relations_living	ovn_sc_ama_amazon
diplomatic_mod	nag_effect_diplomatic_relations_living	ovn_sc_arb_araby
diplomatic_mod	nag_effect_diplomatic_relations_living	ovn_sc_fim_fimir
diplomatic_mod	nag_effect_diplomatic_relations_living	ovn_sc_mar_marienburg
diplomatic_mod	nag_effect_diplomatic_relations_living	ovn_sc_troll_troll
diplomatic_mod	nag_effect_diplomatic_relations_living	ovn_sc_halflings
diplomatic_mod	nag_effect_diplomatic_relations_living	mixer_nip_nippon
diplomatic_mod	nag_effect_diplomatic_relations_living	mixer_teb_southern_realms
diplomatic_mod	nag_effect_diplomatic_relations_living	mixer_nur_rotbloods
diplomatic_mod	nag_effect_diplomatic_relations_living	mixer_sc_hng_hung
diplomatic_mod	nag_effect_diplomatic_relations_living	wh3_dlc23_sc_chd_chaos_dwarfs
diplomatic_mod	nag_effect_diplomatic_relations_living	wh3_main_sc_cth_cathay
diplomatic_mod	nag_effect_diplomatic_relations_living	wh3_main_sc_dae_daemons
diplomatic_mod	nag_effect_diplomatic_relations_living	wh3_main_sc_kho_khorne
diplomatic_mod	nag_effect_diplomatic_relations_living	wh3_main_sc_nur_nurgle
diplomatic_mod	nag_effect_diplomatic_relations_living	wh3_main_sc_ogr_ogre_kingdoms
diplomatic_mod	nag_effect_diplomatic_relations_living	wh3_main_sc_sla_slaanesh
diplomatic_mod	nag_effect_diplomatic_relations_living	wh3_main_sc_tze_tzeentch
