bonus_value_id	effect	subculture
#effect_bonus_value_subculture_junctions_tables;0;db/effect_bonus_value_subculture_junctions_tables/rhox_nagash_vanilla_culture_effects		
diplomatic_mod	wh3_main_faction_trait_diplomacy_mod_mazdamundi	mixer_nag_nagash
diplomatic_mod_imperium	wh_main_effect_faction_imperium_diplomacy_penalty	mixer_nag_nagash
diplomatic_mod	wh_main_faction_political_diplomacy_mod_technology	mixer_nag_nagash
diplomatic_mod	wh_main_faction_political_diplomacy_mod	mixer_nag_nagash
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_vlad	mixer_nag_nagash
diplomatic_mod	wh2_dlc14_effect_diplomacy_vmp_cst_tmb	mixer_nag_nagash
diplomatic_mod	wh3_dlc23_faction_political_diplomacy_mod_greenskins_skaven_ogres_vampire_counts_vampire_coast_tomb_kings	mixer_nag_nagash
diplomatic_mod	wh3_main_faction_political_diplomacy_mod_vampiric_undead	mixer_nag_nagash
sacking_mod	wh_dlc08_effect_campaign_sacking_income_empire_vamps_greenskins	mixer_nag_nagash
