army_special_ability	unit_special_ability	unique_id	enables_siege_assault
#army_special_abilities_tables;2;db/army_special_abilities_tables/nagash			
nag_army_abilities_batocalypse	nag_army_abilities_batocalypse	45738501	true
nag_army_abilities_endless_tomb	nag_army_abilities_endless_tomb	45738502	true
nag_army_abilities_endless_tomb_hidden_dummy	nag_army_abilities_endless_tomb_hidden_dummy	45738503	true
nag_army_abilities_blyramid_bombardment_00	nag_army_abilities_blyramid_bombardment_00	45738504	false
nag_army_abilities_blyramid_bombardment_01	nag_army_abilities_blyramid_bombardment_01	45738505	false
nag_army_abilities_blyramid_bombardment_02	nag_army_abilities_blyramid_bombardment_02	45738506	false
nag_army_abilities_blyramid_bombardment_03	nag_army_abilities_blyramid_bombardment_03	45738507	false
nag_army_abilities_blyramid_bombardment_04	nag_army_abilities_blyramid_bombardment_04	45738508	false
nag_blyramid_itself	nag_blyramid_itself	45738509	false
nag_army_abilities_blyramid_bombardment_targeting	nag_army_abilities_blyramid_bombardment_targeting	45738510	true
