key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/rhox_nagash								
wh2_main_lord_trait_vmp_nagash	ph	ph	faction	1	character.png	true	false	true
nag_nagash_group	ph	ph	faction	1	character.png	false	false	true
nag_bundle_stance_army_settlement_horde		Stance: Encamp	force	1	icon_effects_fortify.png	true	false	true
nag_man			faction	1	character.png	true	false	true
nag_divinity			faction	1	icon_effects_fortify.png	true	false	true
nag_death			faction	1	character.png	true	false	true
nag_winds			faction	1	character.png	true	false	true
nagash_enslave			force	1	icon_effects_fortify.png	false	false	true
nagash_kill			force	1	magic.png	false	false	true
nagash_release			force	1	icon_effects_fortify.png	false	false	true
nag_death_shambling_horde			force	1	icon_effects_fortify.png	false	true	true
nag_payload_improved_agent_champion	Your Tomb Princes & Wight Kings have been greatly improved!	Undead Champions	faction	1	tomb_prince.png	true	false	true
nag_payload_improved_agent_engineer	Your Gunnery Wights have been greatly improved!	Powder Engineers	faction	1	gunnery_wight.png	true	false	true
nag_payload_improved_agent_wizard	Your Liche Priests have been greatly improved!	Ancient Liche Priests	faction	1	wizard.png	true	false	true
nag_payload_improved_agent_spy	Your Archai have been greatly improved!	Harbingers	faction	1	saurus_scar_veteran.png	true	false	true
nag_payload_improved_agent_dignitary	Your Vampires have been greatly improved!	Wicked Kiss	faction	1	vampire.png	true	false	true
nag_payload_training_artillery	Your armies are focusing on artillery training.	Artillery Focus	faction	1	experience.png	true	false	true
nag_payload_training_cavalry	Your armies are focusing on cavalry training.	Cavalry Focus	faction	1	experience.png	true	false	true
nag_payload_training_infantry_melee	Your armies are focusing on melee infantry training.	Combat Focus	faction	1	experience.png	true	false	true
nag_payload_training_infantry_ranged	Your armies are focusing on missile infantry training.	Missile Focus	faction	1	experience.png	true	false	true
nag_payload_training_war_beasts	Your armies are focusing on war beast training.	War Beast Focus	faction	1	experience.png	true	false	true
nag_payload_training_war_machines	Your armies are focusing on war machine training.	War Machine Focus	faction	1	experience.png	true	false	true
nag_payload_attack_versus_bretonnia	Your warriors relish the opportunity to do battle with the Bretonnian dukedoms.	Bretonnian Conflict	faction	1	morale.png	true	false	true
nag_payload_attack_versus_beastmen	Your warriors relish the opportunity to do battle with Beastmen tribes.	Beastmen Conflict	faction	1	morale.png	true	false	true
nag_payload_attack_versus_chaos	Your warriors relish the opportunity to do battle with the Chaos hordes.	Chaos Conflict	faction	1	morale.png	true	false	true
nag_payload_attack_versus_dark_elves	Your warriors relish the opportunity to do battle with Dark Elves.	Dark Elf Conflict	faction	1	morale.png	true	false	true
nag_payload_attack_versus_dwarfs	Your warriors relish the opportunity to do battle with the Dwarf throngs.	Dwarfen Conflict	faction	1	morale.png	true	false	true
nag_payload_attack_versus_empire	Your warriors relish the opportunity to do battle with menfolk.	Conflict of Men	faction	1	morale.png	true	false	true
nag_payload_attack_versus_greenskins	Your warriors relish the opportunity to do battle with the Greenskin tribes.	Greenskin Conflict	faction	1	morale.png	true	false	true
nag_payload_attack_versus_high_elves	Your warriors relish the opportunity to do battle with High Elves.	High Elf Conflict	faction	1	morale.png	true	false	true
nag_payload_attack_versus_lizardmen	Your warriors relish the opportunity to do battle with Lizardmen.	Lizardmen Conflict	faction	1	morale.png	true	false	true
nag_payload_attack_versus_skaven	Your warriors relish the opportunity to do battle with Skaven.	Skaven Conflict	faction	1	morale.png	true	false	true
