bonus_value_id	effect	unit_set_attribute
#effect_bonus_value_unit_set_unit_attribute_junctions_tables;0;db/effect_bonus_value_unit_set_unit_attribute_junctions_tables/rhox_nagash_skills		
enable	nag_effect_army_vet_vamp_strider_skill	nag_army_vamp_strider
enable	nag_effect_army_vet_nagash_fatigue_res_skill	nag_army_nagashizzar_fatigue_res
enable	nag_effect_stalk_scorpion_skill	nag_army_stalk_scorpion
enable	nag_effect_tech_vanguard_necropolis	nag_effect_tech_vanguard_necropolis
enable	nag_effect_tech_vanguard_black_knights	nag_effect_tech_vanguard_black_knights
enable	nag_neferata_unit_effect	nag_neferata_unit_effect
enable	nag_effect_army_vet_nagash_fatigue_res_skill_azhag	nag_army_nagashizzar_fatigue_res_azhag
enable	nag_effect_army_vanguard_deployment_undead_green_morghasts	nag_army_vanguard_undead_green_morghasts
enable	nag_effect_arkhan_devastating_flanker_chariots	nag_arkhan_devastating_flanker_chariots
enable	nag_effect_unit_enable_spell_mastery_nag_spell_caster_lords	nag_spell_mastery_caster_lords
enable	nag_effect_unit_enable_spell_mastery_nag_vampire_heroes	nag_spell_mastery_vampire_heroes
enable	nag_effect_unit_enable_spell_mastery_nag_liche_priests	nag_spell_mastery_liche_priest
enable	nag_effect_attribute_enable_stalk_beasts_crypt	nag_beasts_crypt_stalk
enable	nag_effect_attribute_enable_vanguard_beasts_crypt	nag_beasts_crypt_vanguard
