ancillary	subculture
#ancillary_included_subcultures_tables;0;db/ancillary_included_subcultures_tables/rhox_nagash_vanilla_followers	
wh2_dlc09_anc_follower_tmb_acolyte_of_sokth	mixer_nag_nagash
wh2_dlc09_anc_follower_tmb_skeletal_labourer	mixer_nag_nagash
wh2_dlc09_anc_follower_tmb_tombfleet_taskmaster	mixer_nag_nagash
wh2_dlc09_anc_follower_tmb_ushabti_bodyguard	mixer_nag_nagash
wh2_dlc11_anc_follower_cst_drawn_chef	mixer_nag_nagash
wh2_dlc11_anc_follower_cst_first_mate	mixer_nag_nagash
wh2_dlc11_anc_follower_cst_quartermaster	mixer_nag_nagash
wh2_dlc11_anc_follower_cst_siren	mixer_nag_nagash
wh2_dlc11_anc_follower_vmp_the_ravenous_dead	mixer_nag_nagash
wh_main_anc_follower_all_student	mixer_nag_nagash
wh_main_anc_follower_undead_carrion	mixer_nag_nagash
wh_main_anc_follower_undead_corpse_thief	mixer_nag_nagash
wh_main_anc_follower_undead_dreg	mixer_nag_nagash
wh_main_anc_follower_undead_flesh_golem	mixer_nag_nagash
wh_main_anc_follower_undead_manservant	mixer_nag_nagash
wh_main_anc_follower_undead_mortal_informer	mixer_nag_nagash
wh_main_anc_follower_undead_possessed_mirror	mixer_nag_nagash
wh_main_anc_follower_undead_treasurer	mixer_nag_nagash
wh_main_anc_follower_undead_warlock	mixer_nag_nagash
wh_main_anc_follower_undead_warp_stone_hunter	mixer_nag_nagash
