ancillary	subculture
#ancillary_included_subcultures_tables;0;db/ancillary_included_subcultures_tables/nagash	
nag_anc_armour_morikhane_the_black_armour	nag_nagash
nag_anc_weapon_the_mortis_balde	nag_nagash
nag_anc_arcane_item_alakanash_staff_of_power	nag_nagash
nag_anc_enchanted_item_crown_of_nagash	nag_nagash
nag_anc_talisman_books_of_nagash_book_one	nag_nagash
nag_anc_talisman_books_of_nagash_book_two	nag_nagash
nag_anc_talisman_books_of_nagash_book_three	nag_nagash
nag_anc_talisman_books_of_nagash_book_four	nag_nagash
nag_anc_talisman_books_of_nagash_book_five	nag_nagash
nag_anc_talisman_books_of_nagash_book_six	nag_nagash
nag_anc_talisman_books_of_nagash_book_seven	nag_nagash
nag_anc_talisman_books_of_nagash_book_eight	nag_nagash
nag_anc_talisman_books_of_nagash_book_nine	nag_nagash
nag_anc_mount_mannfred_abyssal	nag_nagash
nag_anc_armour_armour_of_templehof	nag_nagash
nag_anc_weapon_sword_of_unholy_power	nag_nagash
nag_anc_mount_arkhan_skeletal_steed	nag_nagash
nag_anc_mount_arkhan_skeleton_chariot	nag_nagash
nag_anc_mount_arkhan_abyssal	nag_nagash
nag_anc_weapon_the_tomb_blade_of_arkhan	nag_nagash
nag_anc_arcane_item_staff_of_nagash	nag_nagash
nag_anc_mount_luthor_harkon_terrorgheist	nag_nagash
nag_anc_enchanted_item_slann_gold	nag_nagash
nag_anc_mount_neferata_warhorse	nag_nagash
nag_anc_mount_neferata_abyssal	nag_nagash
nag_anc_weapon_dagger_of_jet	nag_nagash
nag_anc_arcane_item_staff_of_pain	nag_nagash
nag_anc_talisman_the_carstein_ring	nag_nagash
nag_anc_weapon_blood_drinker	nag_nagash
nag_anc_enchanted_item_blood_chalice_of_bathori	nag_nagash
nag_anc_mount_isabella_barded_nightmare	nag_nagash
nag_anc_mount_isabella_hellsteed	nag_nagash
nag_anc_weapon_chaos_tomb_blade	nag_nagash
nag_anc_armour_armour_of_the_barrows	nag_nagash
nag_anc_weapon_black_axe_of_krell	nag_nagash
