ancillary	subculture
#ancillary_included_subcultures_tables;0;db/ancillary_included_subcultures_tables/nagash_vanilla_followers	
wh2_dlc09_anc_follower_tmb_acolyte_of_sokth	nag_nagash
wh2_dlc09_anc_follower_tmb_skeletal_labourer	nag_nagash
wh2_dlc09_anc_follower_tmb_tombfleet_taskmaster	nag_nagash
wh2_dlc09_anc_follower_tmb_ushabti_bodyguard	nag_nagash
wh2_dlc11_anc_follower_cst_drawn_chef	nag_nagash
wh2_dlc11_anc_follower_cst_first_mate	nag_nagash
wh2_dlc11_anc_follower_cst_quartermaster	nag_nagash
wh2_dlc11_anc_follower_cst_siren	nag_nagash
wh2_dlc11_anc_follower_vmp_the_ravenous_dead	nag_nagash
wh_main_anc_follower_all_student	nag_nagash
wh_main_anc_follower_undead_carrion	nag_nagash
wh_main_anc_follower_undead_corpse_thief	nag_nagash
wh_main_anc_follower_undead_dreg	nag_nagash
wh_main_anc_follower_undead_flesh_golem	nag_nagash
wh_main_anc_follower_undead_manservant	nag_nagash
wh_main_anc_follower_undead_mortal_informer	nag_nagash
wh_main_anc_follower_undead_possessed_mirror	nag_nagash
wh_main_anc_follower_undead_treasurer	nag_nagash
wh_main_anc_follower_undead_warlock	nag_nagash
wh_main_anc_follower_undead_warp_stone_hunter	nag_nagash
