ancillary	subculture
#ancillary_included_subcultures_tables;0;db/ancillary_included_subcultures_tables/rhox_nagash	
nag_anc_armour_morikhane_the_black_armour	mixer_nag_nagash
nag_anc_weapon_the_mortis_blade	mixer_nag_nagash
nag_anc_arcane_item_alakanash_staff_of_power	mixer_nag_nagash
nag_anc_enchanted_item_crown_of_nagash	mixer_nag_nagash
nag_anc_talisman_books_of_nagash_book_one	mixer_nag_nagash
nag_anc_talisman_books_of_nagash_book_two	mixer_nag_nagash
nag_anc_talisman_books_of_nagash_book_three	mixer_nag_nagash
nag_anc_talisman_books_of_nagash_book_four	mixer_nag_nagash
nag_anc_talisman_books_of_nagash_book_five	mixer_nag_nagash
nag_anc_talisman_books_of_nagash_book_six	mixer_nag_nagash
nag_anc_talisman_books_of_nagash_book_seven	mixer_nag_nagash
nag_anc_talisman_books_of_nagash_book_eight	mixer_nag_nagash
nag_anc_talisman_books_of_nagash_book_nine	mixer_nag_nagash
nag_anc_mount_mannfred_abyssal	mixer_nag_nagash
nag_anc_armour_armour_of_templehof	mixer_nag_nagash
nag_anc_weapon_sword_of_unholy_power	mixer_nag_nagash
nag_anc_mount_arkhan_skeletal_steed	mixer_nag_nagash
nag_anc_mount_arkhan_skeleton_chariot	mixer_nag_nagash
nag_anc_mount_arkhan_abyssal	mixer_nag_nagash
nag_anc_weapon_the_tomb_blade_of_arkhan	mixer_nag_nagash
nag_anc_arcane_item_staff_of_nagash	mixer_nag_nagash
nag_anc_mount_luthor_harkon_terrorgheist	mixer_nag_nagash
nag_anc_enchanted_item_slann_gold	mixer_nag_nagash
nag_anc_mount_neferata_abyssal	mixer_nag_nagash
nag_anc_talisman_the_carstein_ring	mixer_nag_nagash
nag_anc_weapon_blood_drinker	mixer_nag_nagash
nag_anc_enchanted_item_blood_chalice_of_bathori	mixer_nag_nagash
nag_anc_mount_isabella_barded_nightmare	mixer_nag_nagash
nag_anc_mount_isabella_hellsteed	mixer_nag_nagash
nag_anc_weapon_chaos_tomb_blade	mixer_nag_nagash
nag_anc_armour_armour_of_the_barrows	mixer_nag_nagash
nag_anc_weapon_black_axe_of_krell	mixer_nag_nagash
mount_skeletal_steed_hand_of_nagash	mixer_nag_nagash
mount_chariot_hand_of_nagash	mixer_nag_nagash
dread_skeletal_steed	mixer_nag_nagash
dread_pegasus	mixer_nag_nagash
dread_zombie_dragon	mixer_nag_nagash
