ancillary	subculture
#ancillary_included_subcultures_tables;0;db/ancillary_included_subcultures_tables/rhox_nagash_vanilla_ancs	
wh2_dlc09_anc_arcane_item_blue_khepra	mixer_nag_nagash
wh2_dlc09_anc_arcane_item_enkhils_kanopi	mixer_nag_nagash
wh2_dlc09_anc_arcane_item_neferras_scrolls_of_mighty_incantations	mixer_nag_nagash
wh2_dlc09_anc_armour_armour_of_eternity	mixer_nag_nagash
wh2_dlc09_anc_armour_scorpion_armour	mixer_nag_nagash
wh2_dlc09_anc_enchanted_item_brooch_of_the_great_desert	mixer_nag_nagash
wh2_dlc09_anc_enchanted_item_cloak_of_the_dunes	mixer_nag_nagash
wh2_dlc09_anc_enchanted_item_elixir_of_might	mixer_nag_nagash
wh2_dlc09_anc_enchanted_item_golden_deathmask_of_kharnut	mixer_nag_nagash
wh2_dlc09_anc_enchanted_item_hieratic_jar	mixer_nag_nagash
wh2_dlc09_anc_enchanted_item_vambraces_of_the_sun	mixer_nag_nagash
wh2_dlc09_anc_magic_standard_banner_of_the_hidden_dead	mixer_nag_nagash
wh2_dlc09_anc_magic_standard_standard_of_the_undying_legion	mixer_nag_nagash
wh2_dlc09_anc_talisman_amulet_of_pha_stah	mixer_nag_nagash
wh2_dlc09_anc_talisman_golden_ankhra	mixer_nag_nagash
wh2_dlc09_anc_talisman_golden_eye_of_rah_nutt	mixer_nag_nagash
wh2_dlc09_anc_weapon_blade_of_antarhak	mixer_nag_nagash
wh2_dlc09_anc_weapon_blade_of_mourning_fire	mixer_nag_nagash
wh2_dlc09_anc_weapon_blade_of_setep	mixer_nag_nagash
wh2_dlc09_anc_weapon_crook_and_flail_of_radiance	mixer_nag_nagash
wh2_dlc09_anc_weapon_destroyer_of_eternities	mixer_nag_nagash
wh2_dlc10_anc_arcane_item_scroll_of_blast	mixer_nag_nagash
wh2_dlc10_anc_arcane_item_scroll_of_speed_of_lykos	mixer_nag_nagash
wh2_dlc11_anc_armour_armour_of_the_depth	mixer_nag_nagash
wh2_dlc11_anc_armour_seadragon_buckler	mixer_nag_nagash
wh2_dlc11_anc_enchanted_item_black_buckthorns_treasure_map	mixer_nag_nagash
wh2_dlc11_anc_enchanted_item_moonshine	mixer_nag_nagash
wh2_dlc11_anc_enchanted_item_pyrotechnic_compound	mixer_nag_nagash
wh2_dlc11_anc_magic_standard_bloodied_banner_of_slayers	mixer_nag_nagash
wh2_dlc11_anc_magic_standard_boatswain	mixer_nag_nagash
wh2_dlc11_anc_magic_standard_burnt_banner_of_knights	mixer_nag_nagash
wh2_dlc11_anc_magic_standard_corpse_surgeon	mixer_nag_nagash
wh2_dlc11_anc_magic_standard_dead_mans_chest	mixer_nag_nagash
wh2_dlc11_anc_magic_standard_holed_banner_of_militia	mixer_nag_nagash
wh2_dlc11_anc_magic_standard_rookie_gunner	mixer_nag_nagash
wh2_dlc11_anc_magic_standard_ships_colors	mixer_nag_nagash
wh2_dlc11_anc_magic_standard_skull_and_crossbones	mixer_nag_nagash
wh2_dlc11_anc_magic_standard_spell_of_the_necromancers_apprentice	mixer_nag_nagash
wh2_dlc11_anc_magic_standard_throwing_bombs	mixer_nag_nagash
wh2_dlc11_anc_magic_standard_torn_banner_of_pilgrims	mixer_nag_nagash
wh2_dlc11_anc_talisman_blackpearl_eye	mixer_nag_nagash
wh2_dlc11_anc_talisman_jellyfish_in_a_jar	mixer_nag_nagash
wh2_dlc11_anc_talisman_kraken_fang	mixer_nag_nagash
wh2_dlc11_anc_weapon_lucky_levis_hookhand	mixer_nag_nagash
wh_main_anc_arcane_item_black_periapt	mixer_nag_nagash
wh_main_anc_arcane_item_book_of_arkhan	mixer_nag_nagash
wh_main_anc_arcane_item_book_of_ashur	mixer_nag_nagash
wh_main_anc_arcane_item_channelling_staff	mixer_nag_nagash
wh_main_anc_arcane_item_earthing_rod	mixer_nag_nagash
wh_main_anc_arcane_item_forbidden_rod	mixer_nag_nagash
wh_main_anc_arcane_item_power_scroll	mixer_nag_nagash
wh_main_anc_arcane_item_power_stone	mixer_nag_nagash
wh_main_anc_arcane_item_sceptre_of_stability	mixer_nag_nagash
wh_main_anc_arcane_item_scroll_of_leeching	mixer_nag_nagash
wh_main_anc_arcane_item_staff_of_damnation	mixer_nag_nagash
wh_main_anc_arcane_item_tricksters_shard	mixer_nag_nagash
wh_main_anc_arcane_item_wand_of_jet	mixer_nag_nagash
wh_main_anc_armour_nightshroud	mixer_nag_nagash
wh_main_anc_enchanted_item_rod_of_flaming_death	mixer_nag_nagash
wh_main_anc_magic_standard_banner_of_the_barrows	mixer_nag_nagash
wh_main_anc_magic_standard_the_screaming_banner	mixer_nag_nagash
wh_main_anc_weapon_skabscrath	mixer_nag_nagash
