key	building_level_key	building_model_id
#campaign_settlement_display_building_ids_tables;3;db/campaign_settlement_display_building_ids_tables/rhox_nagash		
nag_nagash_horde_special_1	nag_nagash_horde_special_1	nag_nagash_horde_1
nag_nagash_horde_special_2	nag_nagash_horde_special_2	nag_nagash_horde_2
nag_nagash_horde_special_3	nag_nagash_horde_special_3	nag_nagash_horde_3
nag_arkhan_horde_special_1	nag_arkhan_horde_special_1	nag_arkhan_horde_1
nag_arkhan_horde_special_2	nag_arkhan_horde_special_2	nag_arkhan_horde_2
nag_arkhan_horde_special_3	nag_arkhan_horde_special_3	nag_arkhan_horde_3
nag_arkhan_horde_special_4	nag_arkhan_horde_special_4	nag_arkhan_horde_4
nag_arkhan_horde_special_5	nag_arkhan_horde_special_5	nag_arkhan_horde_5
nag_vlad_horde_special_1	nag_vlad_horde_special_1	nag_vlad_horde_1
nag_vlad_horde_special_2	nag_vlad_horde_special_2	nag_vlad_horde_2
nag_vlad_horde_special_3	nag_vlad_horde_special_3	nag_vlad_horde_3
nag_vlad_horde_special_4	nag_vlad_horde_special_4	nag_vlad_horde_4
nag_vlad_horde_special_5	nag_vlad_horde_special_5	nag_vlad_horde_5
nag_neffy_horde_special_1	nag_neffy_horde_special_1	nag_neffy_horde_1
nag_neffy_horde_special_2	nag_neffy_horde_special_2	nag_neffy_horde_2
nag_neffy_horde_special_3	nag_neffy_horde_special_3	nag_neffy_horde_3
nag_neffy_horde_special_4	nag_neffy_horde_special_4	nag_neffy_horde_4
nag_neffy_horde_special_5	nag_neffy_horde_special_5	nag_neffy_horde_5
nag_manny_horde_special_1	nag_manny_horde_special_1	nag_manny_horde_1
nag_manny_horde_special_2	nag_manny_horde_special_2	nag_manny_horde_2
nag_manny_horde_special_3	nag_manny_horde_special_3	nag_manny_horde_3
nag_manny_horde_special_4	nag_manny_horde_special_4	nag_manny_horde_4
nag_manny_horde_special_5	nag_manny_horde_special_5	nag_manny_horde_5
nag_krell_horde_special_1	nag_krell_horde_special_1	nag_krell_horde_1
nag_krell_horde_special_2	nag_krell_horde_special_2	nag_krell_horde_2
nag_krell_horde_special_3	nag_krell_horde_special_3	nag_krell_horde_3
nag_krell_horde_special_4	nag_krell_horde_special_4	nag_krell_horde_4
