valid_group	military_force_type
#agent_subtype_military_force_creation_overrides_tables;1;db/agent_subtype_military_force_creation_overrides_tables/rhox_nagash	
nagash_bp_horde	nag_bp_horde
nagash_husk_horde	nag_husk_horde
nagash_arkhan_horde	nag_arkhan_horde
nagash_vlad_horde	nag_vlad_horde
nagash_mannfred_horde	nag_mannfred_horde
nagash_harkon_horde	nag_harkon_horde
nagash_krell_horde	nag_krell_horde
nagash_neferata_horde	nag_neferata_horde
nagash_dieter_horde	nag_dieter_horde
nagash_azhag_horde	nag_azhag_horde
nagash_dk_horde	nag_dk_horde
