id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables;1;db/building_level_armed_citizenry_junctions_tables/rhox_nagash_non_unique		
889432014	nag_non_unique_settlement_defence_major_1	nag_nagashi_guard
889432015	nag_non_unique_settlement_defence_major_1	nag_nagashi_guard
889432016	nag_non_unique_settlement_defence_major_1	nag_bone_golems
889432017	nag_non_unique_settlement_defence_major_1	nag_vanilla_tmb_inf_skeleton_archers_0
889432018	nag_non_unique_settlement_defence_major_1	nag_vanilla_tmb_inf_skeleton_archers_0
889432019	nag_non_unique_settlement_defence_major_1	nag_vanilla_tmb_inf_skeleton_spearmen_0
889432020	nag_non_unique_settlement_defence_major_1	nag_vanilla_tmb_inf_skeleton_spearmen_0
889432021	nag_non_unique_settlement_defence_major_1	nag_vanilla_tmb_inf_skeleton_warriors_0
889432022	nag_non_unique_settlement_defence_major_1	nag_vanilla_tmb_inf_skeleton_warriors_0
889432023	nag_non_unique_settlement_defence_major_1	nag_vanilla_vmp_inf_cairn_wraiths
889432024	nag_non_unique_settlement_defence_major_1	nag_vanilla_vmp_mon_fell_bats
889432025	nag_non_unique_settlement_defence_major_1	nag_vanilla_vmp_mon_fell_bats
889432026	nag_non_unique_settlement_defence_major_2	nag_nagashi_guard
889432027	nag_non_unique_settlement_defence_major_2	nag_nagashi_guard
889432028	nag_non_unique_settlement_defence_major_2	nag_bone_golems
889432029	nag_non_unique_settlement_defence_major_2	nag_vanilla_tmb_inf_skeleton_archers_0
889432030	nag_non_unique_settlement_defence_major_2	nag_vanilla_tmb_inf_skeleton_archers_0
889432031	nag_non_unique_settlement_defence_major_2	nag_vanilla_tmb_inf_skeleton_spearmen_0
889432032	nag_non_unique_settlement_defence_major_2	nag_vanilla_tmb_inf_skeleton_spearmen_0
889432033	nag_non_unique_settlement_defence_major_2	nag_vanilla_tmb_inf_skeleton_warriors_0
889432034	nag_non_unique_settlement_defence_major_2	nag_vanilla_tmb_inf_skeleton_warriors_0
889432035	nag_non_unique_settlement_defence_major_2	nag_vanilla_vmp_inf_cairn_wraiths
889432036	nag_non_unique_settlement_defence_major_2	nag_vanilla_vmp_mon_fell_bats
889432037	nag_non_unique_settlement_defence_major_2	nag_vanilla_vmp_mon_fell_bats
889432038	nag_non_unique_settlement_defence_major_2	nag_bone_thrower
889432039	nag_non_unique_settlement_defence_major_2	nag_bone_thrower
