id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables;1;db/building_level_armed_citizenry_junctions_tables/rhox_nagash_unorthodox		
847769899	wh2_main_special_fortress_gate_eagle_untainted_1	nag_tier_1
847769900	wh2_main_special_fortress_gate_eagle_untainted_2	nag_tier_2
847769901	wh2_main_special_fortress_gate_eagle_untainted_3	nag_tier_3
847769902	wh2_main_special_fortress_gate_eagle_untainted_4	nag_tier_4
847769903	wh2_main_special_fortress_gate_eagle_untainted_5	nag_tier_5
847769904	wh2_main_special_fortress_gate_griffon_untainted_1	nag_tier_1
847769905	wh2_main_special_fortress_gate_griffon_untainted_2	nag_tier_2
847769906	wh2_main_special_fortress_gate_griffon_untainted_3	nag_tier_3
847769907	wh2_main_special_fortress_gate_griffon_untainted_4	nag_tier_4
847769908	wh2_main_special_fortress_gate_griffon_untainted_5	nag_tier_5
847769909	wh2_main_special_fortress_gate_phoenix_untainted_1	nag_tier_1
847769910	wh2_main_special_fortress_gate_phoenix_untainted_2	nag_tier_2
847769911	wh2_main_special_fortress_gate_phoenix_untainted_3	nag_tier_3
847769912	wh2_main_special_fortress_gate_phoenix_untainted_4	nag_tier_4
847769913	wh2_main_special_fortress_gate_phoenix_untainted_5	nag_tier_5
847769914	wh2_main_special_fortress_gate_unicorn_untainted_1	nag_tier_1
847769915	wh2_main_special_fortress_gate_unicorn_untainted_2	nag_tier_2
847769916	wh2_main_special_fortress_gate_unicorn_untainted_3	nag_tier_3
847769917	wh2_main_special_fortress_gate_unicorn_untainted_4	nag_tier_4
847769918	wh2_main_special_fortress_gate_unicorn_untainted_5	nag_tier_5
847769919	wh3_main_special_settlement_bastion_other_1	nag_tier_1
847769920	wh3_main_special_settlement_bastion_other_2	nag_tier_2
847769921	wh3_main_special_settlement_bastion_other_3	nag_tier_3
847769922	wh3_main_special_settlement_bastion_other_4	nag_tier_4
847769923	wh3_main_special_settlement_bastion_other_5	nag_tier_5
847769924	wh2_main_special_empire_fort_untainted_1	nag_tier_1
847769925	wh2_main_special_empire_fort_untainted_2	nag_tier_2
847769926	wh2_main_special_empire_fort_untainted_3	nag_tier_3
847769927	wh2_main_special_empire_fort_untainted_4	nag_tier_4
847769928	wh2_main_special_empire_fort_untainted_5	nag_tier_5
847769929	wh2_main_wef_oak_of_ages_occupied_1	nag_tier_1
