id	mission_key	option_key	value	target
#cdir_events_mission_option_junctions_tables;2;db/cdir_events_mission_option_junctions_tables/rhox_nagash				
9815618	nagash_intro_1	VAR_CHANCE	100	default
9815619	nagash_intro_1	GEN_TARGET_NONE		default
9815620	nagash_intro_2	VAR_CHANCE	100	default
9815621	nagash_intro_2	GEN_TARGET_NONE		default
9815622	nagash_intro_3	VAR_CHANCE	100	default
9815623	nagash_intro_3	GEN_TARGET_NONE		default
9815624	nagash_intro_4	VAR_CHANCE	100	default
9815625	nagash_intro_4	GEN_TARGET_REGION		default
9815626	nagash_intro_5	VAR_CHANCE	100	default
9815627	nagash_intro_5	GEN_TARGET_REGION		default
9815628	nagash_intro_5	GEN_CND_REGION	wh3_main_combi_region_deff_gorge	default
9815629	nagash_intro_5	VAR_MISSION_LENGTH_INFINITE		default
9814000	nagash_intro_2	VAR_OBJECTIVE_AMOUNT_INT	10000	default
9814001	nagash_intro_3	VAR_OBJECTIVE_AMOUNT_INT	20	default
9814002	nagash_intro_4	GEN_CND_REGION	wh3_main_combi_region_desolation_of_nagash	default
9814003	nagash_intro_4	VAR_OBJECTIVE_AMOUNT_INT	1	default
8845120	nag_nagash_capture_settlement_khemri	VAR_MISSION_LENGTH_INFINITE		default
8845121	nag_nagash_capture_settlement_khemri	GEN_TARGET_REGION		default
8845122	nag_nagash_capture_settlement_khemri	GEN_CND_REGION	wh3_main_combi_region_khemri	default
8845123	nag_nagash_capture_settlement_khemri	VAR_CHANCE	100	default
8845124	nag_nagash_capture_settlement_mourkain	VAR_MISSION_LENGTH_INFINITE		default
8845125	nag_nagash_capture_settlement_mourkain	GEN_TARGET_REGION		default
8845126	nag_nagash_capture_settlement_mourkain	GEN_CND_REGION	wh3_main_combi_region_morgheim	default
8845127	nag_nagash_capture_settlement_mourkain	VAR_CHANCE	100	default
8845128	nag_nagash_capture_settlement_drakenhof	VAR_MISSION_LENGTH_INFINITE		default
8845129	nag_nagash_capture_settlement_drakenhof	GEN_TARGET_REGION		default
8845130	nag_nagash_capture_settlement_drakenhof	GEN_CND_REGION	wh3_main_combi_region_castle_drakenhof	default
8845131	nag_nagash_capture_settlement_drakenhof	VAR_CHANCE	100	default
8845132	nag_nagash_capture_settlement_lahmia	VAR_MISSION_LENGTH_INFINITE		default
8845133	nag_nagash_capture_settlement_lahmia	GEN_TARGET_REGION		default
8845134	nag_nagash_capture_settlement_lahmia	GEN_CND_REGION	wh3_main_combi_region_lahmia	default
8845135	nag_nagash_capture_settlement_lahmia	VAR_CHANCE	100	default
8845140	nag_nagash_capture_settlement_quintex	VAR_MISSION_LENGTH_INFINITE		default
8845141	nag_nagash_capture_settlement_quintex	GEN_TARGET_REGION		default
8845142	nag_nagash_capture_settlement_quintex	GEN_CND_REGION	wh3_main_combi_region_ancient_city_of_quintex	default
8845143	nag_nagash_capture_settlement_quintex	VAR_CHANCE	100	default
8845145	nag_nagash_capture_settlement_black_pyramid	VAR_CHANCE	100	default
8845146	nag_nagash_capture_settlement_black_pyramid	GEN_TARGET_NONE		default
8845147	nag_mortarch_vlad_unlock	VAR_OBJECTIVE_LOGICAL_POSTION	497;460	default
8845148	nag_mortarch_vlad_unlock	VAR_CHANCE	100	default
8845149	nag_mortarch_vlad_unlock	VAR_OBJECTIVE_MAX_DISTANCE_TO_DECOY	50	default
8845150	nag_mortarch_vlad_unlock	VAR_OBJECTIVE_OVERRIDE_TEXT	mission_text_text_nag_mortarch_vlad_unlock	default
8845151	nag_mortarch_vlad_unlock	VAR_OBJECTIVE_FORCE_STANCE_RECORD	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	default
8845152	nag_mortarch_vlad_unlock	VAR_OBJECTIVE_HEX_TRIGGER_RADIUS	10	default
8845153	nag_mortarch_vlad_unlock	VAR_OBJECTIVE_TRIGGER_IMMEDIATELY		default
8845154	nag_mortarch_vlad_unlock	VAR_MISSION_LENGTH_INFINITE		default
8845155	nag_mortarch_vlad_unlock	GEN_TARGET_NONE		default
8845156	nag_mortarch_luthor_unlock	GEN_TARGET_NONE		default
8845157	nag_mortarch_luthor_unlock	VAR_CHANCE	100	default
8845158	nag_mortarch_luthor_unlock	VAR_OBJECTIVE_PROVINCE	wh3_main_combi_province_vampire_coast	default
8845160	nag_mortarch_luthor_unlock	VAR_MISSION_LENGTH_INFINITE		default
8845197	nag_mortarch_neferata_unlock	VAR_CHANCE	100	default
8845198	nag_mortarch_neferata_unlock	GEN_TARGET_NONE		default
8845199	nag_mortarch_krell_unlock	VAR_CHANCE	100	default
8845200	nag_mortarch_krell_unlock	GEN_TARGET_NONE		default
8845201	nag_mortarch_mannfred_unlock	VAR_CHANCE	100	default
8845202	nag_mortarch_mannfred_unlock	GEN_TARGET_NONE		default
8845228	nag_bp_raise	VAR_CHANCE	100	default
8845229	nag_bp_raise	GEN_TARGET_NONE		default
8845230	nag_waprstone_mines	VAR_CHANCE	100	default
8845231	nag_waprstone_mines	GEN_TARGET_NONE		default
8845232	nag_endgame_capture	VAR_CHANCE	100	default
8845233	nag_endgame_capture	GEN_TARGET_NONE		default
