attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/nagash_cha	
causes_fear	nag_nagash_husk
encourages	nag_nagash_husk
hide_forest	nag_nagash_husk
undead	nag_nagash_husk
causes_fear	nag_nagash_revenant
causes_terror	nag_nagash_revenant
encourages	nag_nagash_revenant
hide_forest	nag_nagash_revenant
undead	nag_nagash_revenant
causes_fear	nag_nagash_boss
causes_terror	nag_nagash_boss
encourages	nag_nagash_boss
undead	nag_nagash_boss
causes_fear	nag_mortarch_neferata
encourages	nag_mortarch_neferata
hide_forest	nag_mortarch_neferata
undead	nag_mortarch_neferata
causes_fear	nag_mortarch_neferata_warhorse
encourages	nag_mortarch_neferata_warhorse
hide_forest	nag_mortarch_neferata_warhorse
undead	nag_mortarch_neferata_warhorse
causes_fear	nag_mortarch_neferata_abyssal
causes_terror	nag_mortarch_neferata_abyssal
encourages	nag_mortarch_neferata_abyssal
undead	nag_mortarch_neferata_abyssal
causes_fear	nag_mortarch_krell
causes_terror	nag_mortarch_krell
encourages	nag_mortarch_krell
hide_forest	nag_mortarch_krell
undead	nag_mortarch_krell
causes_fear	nag_mortarch_vlad
causes_terror	nag_mortarch_vlad
encourages	nag_mortarch_vlad
hide_forest	nag_mortarch_vlad
undead	nag_mortarch_vlad
causes_fear	nag_mortarch_mannfred
encourages	nag_mortarch_mannfred
hide_forest	nag_mortarch_mannfred
undead	nag_mortarch_mannfred
causes_fear	nag_mortarch_mannfred_warhorse
encourages	nag_mortarch_mannfred_warhorse
hide_forest	nag_mortarch_mannfred_warhorse
undead	nag_mortarch_mannfred_warhorse
causes_fear	nag_mortarch_mannfred_abyssal
causes_terror	nag_mortarch_mannfred_abyssal
encourages	nag_mortarch_mannfred_abyssal
undead	nag_mortarch_mannfred_abyssal
causes_fear	nag_mortarch_luthor
encourages	nag_mortarch_luthor
hide_forest	nag_mortarch_luthor
undead	nag_mortarch_luthor
mounted_fire_move	nag_mortarch_luthor
causes_fear	nag_mortarch_luthor_terrorgheist
encourages	nag_mortarch_luthor_terrorgheist
causes_terror	nag_mortarch_luthor_terrorgheist
undead	nag_mortarch_luthor_terrorgheist
mounted_fire_move	nag_mortarch_luthor_terrorgheist
causes_fear	nag_mortarch_arkhan
encourages	nag_mortarch_arkhan
hide_forest	nag_mortarch_arkhan
undead	nag_mortarch_arkhan
causes_fear	nag_mortarch_arkhan_warhorse
encourages	nag_mortarch_arkhan_warhorse
hide_forest	nag_mortarch_arkhan_warhorse
undead	nag_mortarch_arkhan_warhorse
causes_fear	nag_mortarch_arkhan_chariot
encourages	nag_mortarch_arkhan_chariot
hide_forest	nag_mortarch_arkhan_chariot
undead	nag_mortarch_arkhan_chariot
strider	nag_mortarch_arkhan_chariot
causes_fear	nag_mortarch_arkhan_abyssal
causes_terror	nag_mortarch_arkhan_abyssal
encourages	nag_mortarch_arkhan_abyssal
undead	nag_mortarch_arkhan_abyssal
causes_fear	nag_mortarch_isabella
encourages	nag_mortarch_isabella
hide_forest	nag_mortarch_isabella
undead	nag_mortarch_isabella
causes_fear	nag_mortarch_isabella_hellsteed
encourages	nag_mortarch_isabella_hellsteed
undead	nag_mortarch_isabella_hellsteed
causes_fear	nag_mortarch_isabella_warhorse
encourages	nag_mortarch_isabella_warhorse
hide_forest	nag_mortarch_isabella_warhorse
undead	nag_mortarch_isabella_warhorse
causes_fear	nag_morghasts_archai
causes_terror	nag_morghasts_archai
encourages	nag_morghasts_archai
hide_forest	nag_morghasts_archai
undead	nag_morghasts_archai
strider	nag_morghasts_archai
causes_fear	nag_cha_tomb_king_0
encourages	nag_cha_tomb_king_0
hide_forest	nag_cha_tomb_king_0
undead	nag_cha_tomb_king_0
causes_fear	nag_cha_tomb_king_1
encourages	nag_cha_tomb_king_1
hide_forest	nag_cha_tomb_king_1
undead	nag_cha_tomb_king_1
causes_fear	nag_cha_tomb_king_2
encourages	nag_cha_tomb_king_2
hide_forest	nag_cha_tomb_king_2
undead	nag_cha_tomb_king_2
causes_fear	nag_cha_tomb_king_3
causes_terror	nag_cha_tomb_king_3
encourages	nag_cha_tomb_king_3
undead	nag_cha_tomb_king_3
causes_fear	nag_cha_tomb_prince_0
charge_defense_vs_large	nag_cha_tomb_prince_0
charge_reflection	nag_cha_tomb_prince_0
encourages	nag_cha_tomb_prince_0
hide_forest	nag_cha_tomb_prince_0
undead	nag_cha_tomb_prince_0
causes_fear	nag_cha_tomb_prince_1
encourages	nag_cha_tomb_prince_1
hide_forest	nag_cha_tomb_prince_1
undead	nag_cha_tomb_prince_1
causes_fear	nag_cha_tomb_prince_2
encourages	nag_cha_tomb_prince_2
hide_forest	nag_cha_tomb_prince_2
undead	nag_cha_tomb_prince_2
causes_fear	nag_cha_liche_priest_death_0
encourages	nag_cha_liche_priest_death_0
hide_forest	nag_cha_liche_priest_death_0
undead	nag_cha_liche_priest_death_0
causes_fear	nag_cha_liche_priest_death_1
encourages	nag_cha_liche_priest_death_1
hide_forest	nag_cha_liche_priest_death_1
undead	nag_cha_liche_priest_death_1
causes_fear	nag_cha_liche_priest_light_0
encourages	nag_cha_liche_priest_light_0
hide_forest	nag_cha_liche_priest_light_0
undead	nag_cha_liche_priest_light_0
causes_fear	nag_cha_liche_priest_light_1
encourages	nag_cha_liche_priest_light_1
hide_forest	nag_cha_liche_priest_light_1
undead	nag_cha_liche_priest_light_1
causes_fear	nag_cha_liche_priest_nehekhara_0
encourages	nag_cha_liche_priest_nehekhara_0
hide_forest	nag_cha_liche_priest_nehekhara_0
undead	nag_cha_liche_priest_nehekhara_0
causes_fear	nag_cha_liche_priest_nehekhara_1
encourages	nag_cha_liche_priest_nehekhara_1
hide_forest	nag_cha_liche_priest_nehekhara_1
undead	nag_cha_liche_priest_nehekhara_1
causes_fear	nag_cha_liche_priest_shadow_0
encourages	nag_cha_liche_priest_shadow_0
hide_forest	nag_cha_liche_priest_shadow_0
undead	nag_cha_liche_priest_shadow_0
causes_fear	nag_cha_liche_priest_shadow_1
encourages	nag_cha_liche_priest_shadow_1
hide_forest	nag_cha_liche_priest_shadow_1
