key	sort_order
#unit_abilities_additional_ui_effects_tables;2;db/unit_abilities_additional_ui_effects_tables/nagash	
wh2_nagash_2_zombies_summon	109
wh2_nagash_black_knights_summon	108
wh2_nagash_blood_knights_summon	108
wh2_nagash_heroes_party_summon	109
wh2_nagash_heroes_on_kitty_summon	109
wh2_nagash_abyss_wolves	109
wh2_nagash_spell_stationary_aoe_upgraded	109
wh2_nagash_all_good_against_flying_upgraded	109
nag_bound_gaze_of_nagash	109
nag_summon_of_summon	109
nag_heal_active_990	109
nag_all_increased_max_power_very_high	106
nag_decreased_reserves	109
nag_summon_skeletons	100
nag_drain_essence	101
