key	sort_order	effect_state
#unit_abilities_additional_ui_effects_tables;3;db/unit_abilities_additional_ui_effects_tables/rhox_nagash		
wh2_nagash_2_zombies_summon	109	positive
wh2_nagash_black_knights_summon	108	positive
wh2_nagash_blood_knights_summon	108	positive
wh2_nagash_heroes_party_summon	109	positive
wh2_nagash_heroes_on_kitty_summon	109	positive
wh2_nagash_abyss_wolves	109	positive
wh2_nagash_spell_stationary_aoe_upgraded	109	positive
wh2_nagash_all_good_against_flying_upgraded	109	positive
nag_bound_gaze_of_nagash	109	positive
nag_summon_of_summon	109	positive
nag_heal_active_990	109	positive
nag_all_increased_max_power_very_high	106	positive
nag_decreased_reserves	109	positive
nag_drain_essence	101	positive
nag_aoe_damage_and_heal	1	positive
nag_no_binding	1	positive
nag_defend_frontline	1	positive
nag_attack_enemy_missile	1	positive
nag_summon_zombies	100	positive
nag_summon_reapers	100	positive
nag_summon_crypt_ghouls	100	positive
nag_summon_cairn_wraiths	100	positive
nag_summon_fell_bats	100	positive
nag_summon_corpse_cart_balefire	100	positive
nag_summon_corpse_cart_lodestone	100	positive
nag_damage_enemy_wavering_commander	1	positive
nag_all_reduced_recharge_rate_high_enemy	1	positive
