key	campaign_key	faction_key	indent	technology_key	technology_node_set	tier	research_points_required	cost_per_round	food_cost	optional_ui_group	resource_cost
#technology_nodes_tables;3;db/technology_nodes_tables/!nagash_tech											
nag_arkhan_battle_1			5	nag_arkhan_battle_1	nagash_tech	1	200	0	0		
nag_arkhan_battle_2			6	nag_arkhan_battle_2	nagash_tech	1	200	0	0		
nag_arkhan_battle_3			7	nag_arkhan_battle_3	nagash_tech	1	200	0	0		
nag_mortarch_arkhan_event_1			1	nag_mortarch_arkhan_event_1	nagash_tech	1	1	0	0		
nag_mortarch_arkhan_event_2			2	nag_mortarch_arkhan_event_2	nagash_tech	1	1	1000	0		
nag_mortarch_arkhan_event_3			3	nag_mortarch_arkhan_event_3	nagash_tech	1	1	2500	0		
nag_mortarch_arkhan_unlock			4	nag_mortarch_arkhan_unlock	nagash_tech	0	1000	0	0		
nag_arkhan_proclamation			8	nag_arkhan_proclamation	nagash_tech	0	1	5000	0		
nagash_tech_dummy			0	nag_arkhan_archai	nagash_tech	0	1	0	0		nag_ritual_archai
nag_krell_battle_1			5	nag_krell_battle_1	nagash_tech	7	200	0	0		
nag_krell_battle_2			6	nag_krell_battle_2	nagash_tech	7	200	0	0		
nag_krell_battle_3			7	nag_krell_battle_3	nagash_tech	7	200	0	0		
nag_mortarch_krell_event_1			1	nag_mortarch_krell_event_1	nagash_tech	7	1	0	0		
nag_mortarch_krell_event_2			2	nag_mortarch_krell_event_2	nagash_tech	7	1	1000	0		
nag_mortarch_krell_event_3			3	nag_mortarch_krell_event_3	nagash_tech	7	1	2500	0		
nag_mortarch_krell_unlock			4	nag_mortarch_krell_unlock	nagash_tech	6	1500	0	0		nag_ritual_mort
nag_krell_proclamation			8	nag_krell_proclamation	nagash_tech	6	1	5000	0		
nag_krell_archai			0	nag_krell_archai	nagash_tech	6	1	0	0		nag_ritual_archai
nag_luthor_battle_1			5	nag_luthor_battle_1	nagash_tech	3	200	0	0		
nag_luthor_battle_2			6	nag_luthor_battle_2	nagash_tech	3	200	0	0		
nag_luthor_battle_3			7	nag_luthor_battle_3	nagash_tech	3	200	0	0		
nag_mortarch_luthor_event_1			1	nag_mortarch_luthor_event_1	nagash_tech	3	1	0	0		
nag_mortarch_luthor_event_2			2	nag_mortarch_luthor_event_2	nagash_tech	3	1	1000	0		
nag_mortarch_luthor_event_3			3	nag_mortarch_luthor_event_3	nagash_tech	3	1	2500	0		
nag_mortarch_luthor_unlock			4	nag_mortarch_luthor_unlock	nagash_tech	2	1500	0	0		nag_ritual_mort
nag_luthor_proclamation			8	nag_luthor_proclamation	nagash_tech	2	1	5000	0		
nag_luthor_archai			0	nag_luthor_archai	nagash_tech	2	1	0	0		nag_ritual_archai
nag_mannfred_battle_1			5	nag_mannfred_battle_1	nagash_tech	5	200	0	0		
nag_mannfred_battle_2			6	nag_mannfred_battle_2	nagash_tech	5	200	0	0		
nag_mannfred_battle_3			7	nag_mannfred_battle_3	nagash_tech	5	200	0	0		
nag_mortarch_mannfred_event_1			1	nag_mortarch_mannfred_event_1	nagash_tech	5	1	0	0		
nag_mortarch_mannfred_event_2			2	nag_mortarch_mannfred_event_2	nagash_tech	5	1	1000	0		
nag_mortarch_mannfred_event_3			3	nag_mortarch_mannfred_event_3	nagash_tech	5	1	2500	0		
nag_mortarch_mannfred_unlock			4	nag_mortarch_mannfred_unlock	nagash_tech	4	1500	0	0		nag_ritual_mort
nag_mannfred_proclamation			8	nag_mannfred_proclamation	nagash_tech	4	1	5000	0		
nag_mannfred_archai			0	nag_mannfred_archai	nagash_tech	4	1	0	0		nag_ritual_archai
nag_location_nagashizzar			1	nag_location_nagashizzar	nagash_tech	12	1	0	0	nag_tech_rituals	nag_ritual_mort
nag_location_mourkain			2	nag_location_mourkain	nagash_tech	12	1	0	0	nag_tech_rituals	nag_ritual_mort
nag_location_lahmia			3	nag_location_lahmia	nagash_tech	12	1	0	0	nag_tech_rituals	nag_ritual_mort
