key	campaign_key	faction_key	indent	technology_key	technology_node_set	tier	research_points_required	cost_per_round	food_cost	optional_ui_group	resource_cost	required_parents	pixel_offset_x	pixel_offset_y
#technology_nodes_tables;0;db/technology_nodes_tables/rhox_nagash														
nag_arkhan_battle_1			5	nag_arkhan_battle_1	nagash_tech	5	300	0	0			0	0	0
nag_arkhan_battle_2			6	nag_arkhan_battle_2	nagash_tech	5	300	0	0			0	0	0
nag_arkhan_battle_3			7	nag_arkhan_battle_3	nagash_tech	5	300	0	0			0	0	0
nag_mortarch_arkhan_event_1			1	nag_mortarch_arkhan_event_1	nagash_tech	5	300	0	0			0	0	0
nag_mortarch_arkhan_event_2			2	nag_mortarch_arkhan_event_2	nagash_tech	5	1	1000	0			0	0	0
nag_mortarch_arkhan_event_3			3	nag_mortarch_arkhan_event_3	nagash_tech	5	1	2500	0			0	0	0
nag_mortarch_arkhan_unlock			4	nag_mortarch_arkhan_unlock	nagash_tech	4	100	0	0			0	0	0
nag_arkhan_proclamation			8	nag_arkhan_proclamation	nagash_tech	4	1	5000	0			0	0	0
nag_arkhan_archai			0	nag_arkhan_archai	nagash_tech	4	800	0	0			0	0	0
nag_krell_battle_1			5	nag_krell_battle_1	nagash_tech	11	300	0	0			0	0	0
nag_krell_battle_2			6	nag_krell_battle_2	nagash_tech	11	300	0	0			0	0	0
nag_krell_battle_3			7	nag_krell_battle_3	nagash_tech	11	300	0	0			0	0	0
nag_mortarch_krell_event_1			1	nag_mortarch_krell_event_1	nagash_tech	11	300	0	0			0	0	0
nag_mortarch_krell_event_2			2	nag_mortarch_krell_event_2	nagash_tech	11	1	1000	0			0	0	0
nag_mortarch_krell_event_3			3	nag_mortarch_krell_event_3	nagash_tech	11	1	2500	0			0	0	0
nag_mortarch_krell_unlock			4	nag_mortarch_krell_unlock	nagash_tech	10	300	0	0			0	0	0
nag_krell_proclamation			8	nag_krell_proclamation	nagash_tech	10	1	5000	0			0	0	0
nag_krell_archai			0	nag_krell_archai	nagash_tech	10	800	0	0			0	0	0
