member	climate
#campaign_group_member_criteria_climates_tables;0;db/campaign_group_member_criteria_climates_tables/rhox_nagash	
nagash_climate_chaotic	climate_chaotic
nagash_climate_desert	climate_desert
nagash_climate_frozen	climate_frozen
nagash_climate_island	climate_island
nagash_climate_jungle	climate_jungle
nagash_climate_magicforest	climate_magicforest
nagash_climate_mountain	climate_mountain
nagash_climate_ocean	climate_ocean
nagash_climate_savannah	climate_savannah
nagash_climate_temperate	climate_temperate
nagash_climate_wasteland	climate_wasteland
nagash_lahmia_climate_mountain	climate_mountain
