building_chain	building_instance	building_or_building_range_start_inclusive	building_range_end_inclusive	building_super_chain	cai_construction_system_category	cai_construction_system_category_group	campaign	culture	faction	sub_culture	per_faction_building_limit_start	per_faction_building_limit_end	per_faction_building_minimum_discount_when_exceeding_limit_start	per_faction_building_maximum_discount_when_exceeding_limit_start	per_faction_building_minimum_discount_when_exceeding_limit_end	per_faction_building_maximum_discount_when_exceeding_limit_end	per_faction_per_building_discount_increment_when_exceeding_limit_start	per_faction_per_building_discount_increment_when_exceeding_limit_end	per_province_building_limit_start	per_province_building_limit_end	per_province_building_minimum_discount_when_exceeding_limit_start	per_province_building_maximum_discount_when_exceeding_limit_start	per_province_building_minimum_discount_when_exceeding_limit_end	per_province_building_maximum_discount_when_exceeding_limit_end	per_province_per_building_discount_increment_when_exceeding_limit_start	per_province_per_building_discount_increment_when_exceeding_limit_end	score_end_inclusive	score_or_score_start_inclusive
#cai_construction_system_building_values_tables;0;db/cai_construction_system_building_values_tables/jvj_nagash_buildings_outpost																												
		nag_outpost_primary_main_1	nag_outpost_primary_main_5			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_primary_main_coast_1	nag_outpost_primary_main_coast_5			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_norsca_primary_main_1	nag_outpost_norsca_primary_main_5			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_norsca_primary_main_coast_1	nag_outpost_norsca_primary_main_coast_5			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_secondary_main_1	nag_outpost_secondary_main_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_secondary_main_coast_1	nag_outpost_secondary_main_coast_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_norsca_secondary_main_1	nag_outpost_norsca_secondary_main_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_norsca_secondary_main_coast_1	nag_outpost_norsca_secondary_main_coast_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	60	25
		nag_outpost_main_port_1	nag_outpost_main_port_1			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	50
		nag_outpost_primary_main_altdorf_1	nag_outpost_primary_main_altdorf_5								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0
		nag_outpost_primary_main_athel_loren_1	nag_outpost_primary_main_athel_loren_5								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0
		nag_outpost_primary_main_black_crag_1	nag_outpost_primary_main_black_crag_5								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0
		nag_outpost_primary_main_castle_drakenhof_1	nag_outpost_primary_main_castle_drakenhof_5								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0
		nag_outpost_primary_main_couronne_1	nag_outpost_primary_main_couronne_5								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0
		nag_outpost_primary_main_eight_peaks_1	nag_outpost_primary_main_eight_peaks_5								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0
		nag_outpost_primary_main_gaean_vale_1	nag_outpost_primary_main_gaean_vale_5								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0
		nag_outpost_primary_main_hexoatl_1	nag_outpost_primary_main_hexoatl_5								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0
		nag_outpost_primary_main_itza_1	nag_outpost_primary_main_itza_5								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0
		nag_outpost_primary_main_karaz_a_karak_1	nag_outpost_primary_main_karaz_a_karak_5								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0
		nag_outpost_primary_main_khemri_1	nag_outpost_primary_main_khemri_5								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0
